step time x y u
0 0.0 35 35 0
1 0.05 35 34 1
2 0.1 34 34 2
5 0.15000000000000002 33 32 5
11 0.2 35 28 7
15 0.25 33 28 9
17 0.3 31 28 11
18 0.35 30 28 12
20 0.39999999999999997 30 28 12
22 0.44999999999999996 30 26 14
24 0.49999999999999994 30 26 14
25 0.5499999999999999 30 27 13
27 0.6 29 26 15
29 0.65 30 25 15
30 0.7000000000000001 30 26 14
30 0.7500000000000001 30 26 14
33 0.8000000000000002 31 24 15
34 0.8500000000000002 31 23 16
34 0.9000000000000002 31 23 16
37 0.9500000000000003 30 23 17
38 1.0000000000000002 31 23 16
40 1.0500000000000003 32 22 16
42 1.1000000000000003 32 22 16
46 1.1500000000000004 31 21 18
48 1.2000000000000004 32 22 16
50 1.2500000000000004 32 22 16
52 1.3000000000000005 31 21 18
53 1.3500000000000005 32 21 17
55 1.4000000000000006 32 19 19
59 1.4500000000000006 32 21 17
59 1.5000000000000007 32 21 17
59 1.5500000000000007 32 21 17
61 1.6000000000000008 31 20 19
62 1.6500000000000008 30 20 20
64 1.7000000000000008 28 20 22
66 1.7500000000000009 28 20 22
70 1.800000000000001 29 19 22
72 1.850000000000001 29 17 24
73 1.900000000000001 29 18 23
76 1.950000000000001 31 17 22
79 2.000000000000001 32 17 21
81 2.0500000000000007 31 16 23
81 2.1000000000000005 31 16 23
83 2.1500000000000004 32 17 21
87 2.2 33 18 19
90 2.25 31 19 20
92 2.3 31 19 20
92 2.3499999999999996 31 19 20
93 2.3999999999999995 30 19 21
94 2.4499999999999993 30 20 20
96 2.499999999999999 30 20 20
101 2.549999999999999 29 20 21
102 2.5999999999999988 29 21 20
105 2.6499999999999986 30 21 19
107 2.6999999999999984 30 21 19
108 2.7499999999999982 29 21 20
111 2.799999999999998 29 20 21
114 2.849999999999998 29 19 22
114 2.8999999999999977 29 19 22
119 2.9499999999999975 29 20 21
121 2.9999999999999973 30 21 19
122 3.049999999999997 30 20 20
123 3.099999999999997 30 19 21
124 3.149999999999997 30 20 20
125 3.1999999999999966 29 20 21
125 3.2499999999999964 29 20 21
127 3.2999999999999963 30 21 19
129 3.349999999999996 30 21 19
131 3.399999999999996 32 21 17
133 3.4499999999999957 32 21 17
134 3.4999999999999956 32 20 18
136 3.5499999999999954 32 20 18
138 3.599999999999995 33 19 18
139 3.649999999999995 33 18 19
141 3.699999999999995 34 17 19
142 3.7499999999999947 33 17 20
146 3.7999999999999945 33 17 20
149 3.8499999999999943 32 19 19
151 3.899999999999994 31 18 21
153 3.949999999999994 30 19 21
154 3.999999999999994 29 19 22
157 4.049999999999994 30 19 21
164 4.099999999999993 32 18 20
165 4.149999999999993 33 18 19
165 4.199999999999993 33 18 19
166 4.249999999999993 32 18 20
169 4.299999999999993 31 20 19
170 4.3499999999999925 32 20 18
174 4.399999999999992 30 22 18
178 4.449999999999992 32 22 16
179 4.499999999999992 32 21 17
180 4.549999999999992 31 21 18
180 4.599999999999992 31 21 18
180 4.6499999999999915 31 21 18
