step time x y u
0 0.0 35 35 0
3 0.05 35 32 3
4 0.1 34 32 4
9 0.15000000000000002 32 29 9
12 0.2 31 27 12
12 0.25 31 27 12
15 0.3 29 26 15
18 0.35 29 23 18
20 0.39999999999999997 30 22 18
22 0.44999999999999996 28 22 20
23 0.49999999999999994 28 21 21
24 0.5499999999999999 28 20 22
24 0.6 28 20 22
24 0.65 28 20 22
25 0.7000000000000001 29 20 21
28 0.7500000000000001 28 20 22
29 0.8000000000000002 28 19 23
33 0.8500000000000002 29 18 23
34 0.9000000000000002 28 18 24
35 0.9500000000000003 29 18 23
36 1.0000000000000002 29 17 24
36 1.0500000000000003 29 17 24
37 1.1000000000000003 28 17 25
40 1.1500000000000004 29 17 24
41 1.2000000000000004 30 17 23
46 1.2500000000000004 27 17 26
50 1.3000000000000005 26 20 24
50 1.3500000000000005 26 20 24
53 1.4000000000000006 26 19 25
53 1.4500000000000006 26 19 25
56 1.5000000000000007 25 21 24
62 1.5500000000000007 25 23 22
65 1.6000000000000008 24 23 23
68 1.6500000000000008 23 23 24
68 1.7000000000000008 23 23 24
69 1.7500000000000009 23 22 25
69 1.800000000000001 23 22 25
71 1.850000000000001 24 23 23
76 1.900000000000001 22 26 22
77 1.950000000000001 22 27 21
79 2.000000000000001 22 29 19
82 2.0500000000000007 24 30 16
83 2.1000000000000005 25 30 15
86 2.1500000000000004 25 31 14
88 2.2 23 31 16
92 2.25 23 27 20
94 2.3 22 26 22
94 2.3499999999999996 22 26 22
96 2.3999999999999995 21 27 22
96 2.4499999999999993 21 27 22
98 2.499999999999999 20 26 24
100 2.549999999999999 18 26 26
102 2.5999999999999988 18 26 26
105 2.6499999999999986 16 25 29
105 2.6999999999999984 16 25 29
106 2.7499999999999982 15 25 30
108 2.799999999999998 15 23 32
108 2.849999999999998 15 23 32
111 2.8999999999999977 15 24 31
111 2.9499999999999975 15 24 31
114 2.9999999999999973 14 24 32
116 3.049999999999997 14 26 30
117 3.099999999999997 14 27 29
119 3.149999999999997 13 28 29
120 3.1999999999999966 14 28 28
120 3.2499999999999964 14 28 28
125 3.2999999999999963 12 27 31
129 3.349999999999996 12 29 29
131 3.399999999999996 13 28 29
131 3.4499999999999957 13 28 29
134 3.4999999999999956 14 28 28
134 3.5499999999999954 14 28 28
135 3.599999999999995 15 28 27
137 3.649999999999995 16 27 27
137 3.699999999999995 16 27 27
138 3.7499999999999947 17 27 26
139 3.7999999999999945 17 28 25
142 3.8499999999999943 18 26 26
143 3.899999999999994 17 26 27
148 3.949999999999994 17 27 26
148 3.999999999999994 17 27 26
152 4.049999999999994 19 27 24
154 4.099999999999993 18 26 26
155 4.149999999999993 18 25 27
157 4.199999999999993 17 24 29
160 4.249999999999993 19 25 26
161 4.299999999999993 19 26 25
161 4.3499999999999925 19 26 25
163 4.399999999999992 20 27 23
164 4.449999999999992 19 27 24
164 4.499999999999992 19 27 24
164 4.549999999999992 19 27 24
166 4.599999999999992 18 28 24
168 4.6499999999999915 17 29 24
168 4.699999999999991 17 29 24
170 4.749999999999991 17 29 24
173 4.799999999999991 16 31 23
173 4.849999999999991 16 31 23
174 4.899999999999991 15 31 24
175 4.94999999999999 15 32 23
178 4.99999999999999 15 33 22
179 5.04999999999999 15 32 23
181 5.09999999999999 15 32 23
183 5.14999999999999 14 33 23
186 5.1999999999999895 14 34 22
187 5.249999999999989 13 34 23
190 5.299999999999989 12 36 22
190 5.349999999999989 12 36 22
191 5.399999999999989 11 36 23
193 5.449999999999989 11 38 21
193 5.4999999999999885 11 38 21
197 5.549999999999988 12 39 19
197 5.599999999999988 12 39 19
198 5.649999999999988 12 38 20
200 5.699999999999988 11 39 20
202 5.749999999999988 10 40 20
205 5.799999999999987 9 38 23
205 5.849999999999987 9 38 23
205 5.899999999999987 9 38 23
207 5.949999999999987 9 38 23
207 5.999999999999987 9 38 23
211 6.0499999999999865 9 40 21
212 6.099999999999986 9 39 22
213 6.149999999999986 9 40 21
215 6.199999999999986 9 40 21
216 6.249999999999986 9 41 20
220 6.299999999999986 8 38 24
221 6.349999999999985 8 37 25
222 6.399999999999985 8 38 24
223 6.449999999999985 8 37 25
224 6.499999999999985 8 38 24
226 6.549999999999985 7 37 26
230 6.5999999999999845 8 36 26
234 6.649999999999984 9 39 22
234 6.699999999999984 9 39 22
236 6.749999999999984 10 40 20
237 6.799999999999984 10 41 19
238 6.849999999999984 9 41 20
241 6.8999999999999835 8 43 19
242 6.949999999999983 8 44 18
244 6.999999999999983 8 44 18
246 7.049999999999983 8 44 18
247 7.099999999999983 8 43 19
251 7.149999999999983 10 43 17
251 7.199999999999982 10 43 17
251 7.249999999999982 10 43 17
252 7.299999999999982 10 44 16
255 7.349999999999982 10 45 15
258 7.399999999999982 10 44 16
259 7.4499999999999815 10 43 17
259 7.499999999999981 10 43 17
262 7.549999999999981 10 44 16
266 7.599999999999981 10 42 18
270 7.649999999999981 10 42 18
272 7.699999999999981 10 40 20
274 7.7499999999999805 10 40 20
275 7.79999999999998 9 40 21
276 7.84999999999998 8 40 22
278 7.89999999999998 9 41 20
281 7.94999999999998 8 41 21
281 7.99999999999998 8 41 21
282 8.04999999999998 9 41 20
282 8.09999999999998 9 41 20
283 8.14999999999998 8 41 21
285 8.199999999999982 8 43 19
287 8.249999999999982 9 42 19
290 8.299999999999983 9 41 20
293 8.349999999999984 10 39 21
