step time x y u
0 0.0 35 35 0
1 0.05 34 35 1
6 0.1 31 33 6
6 0.15000000000000002 31 33 6
7 0.2 31 32 7
8 0.25 31 31 8
8 0.3 31 31 8
10 0.35 32 32 6
11 0.39999999999999997 32 31 7
12 0.44999999999999996 31 31 8
15 0.49999999999999994 30 29 11
15 0.5499999999999999 30 29 11
17 0.6 29 30 11
19 0.65 30 31 9
19 0.7000000000000001 30 31 9
22 0.7500000000000001 28 32 10
26 0.8000000000000002 26 30 14
29 0.8500000000000002 26 29 15
31 0.9000000000000002 25 28 17
33 0.9500000000000003 24 27 19
34 1.0000000000000002 25 27 18
37 1.0500000000000003 26 27 17
38 1.1000000000000003 26 26 18
40 1.1500000000000004 26 28 16
44 1.2000000000000004 22 28 20
45 1.2500000000000004 22 29 19
47 1.3000000000000005 21 30 19
48 1.3500000000000005 22 30 18
50 1.4000000000000006 21 31 18
51 1.4500000000000006 21 32 17
51 1.5000000000000007 21 32 17
52 1.5500000000000007 20 32 18
52 1.6000000000000008 20 32 18
54 1.6500000000000008 20 32 18
55 1.7000000000000008 19 32 19
57 1.7500000000000009 20 31 19
59 1.800000000000001 19 32 19
62 1.850000000000001 18 32 20
63 1.900000000000001 18 31 21
65 1.950000000000001 18 31 21
67 2.000000000000001 18 33 19
70 2.0500000000000007 19 31 20
72 2.1000000000000005 18 30 22
74 2.1500000000000004 18 28 24
75 2.2 19 28 23
78 2.25 20 28 22
78 2.3 20 28 22
80 2.3499999999999996 20 28 22
81 2.3999999999999995 20 27 23
81 2.4499999999999993 20 27 23
82 2.499999999999999 21 27 22
85 2.549999999999999 22 27 21
85 2.5999999999999988 22 27 21
86 2.6499999999999986 22 28 20
88 2.6999999999999984 22 28 20
88 2.7499999999999982 22 28 20
88 2.799999999999998 22 28 20
88 2.849999999999998 22 28 20
89 2.8999999999999977 23 28 19
89 2.9499999999999975 23 28 19
89 2.9999999999999973 23 28 19
89 3.049999999999997 23 28 19
90 3.099999999999997 22 28 20
92 3.149999999999997 21 27 22
95 3.1999999999999966 20 25 25
95 3.2499999999999964 20 25 25
96 3.2999999999999963 19 25 26
97 3.349999999999996 19 26 25
100 3.399999999999996 19 27 24
101 3.4499999999999957 19 26 25
103 3.4999999999999956 20 27 23
105 3.5499999999999954 21 28 21
107 3.599999999999995 19 28 23
108 3.649999999999995 20 28 22
111 3.699999999999995 19 30 21
113 3.7499999999999947 20 29 21
114 3.7999999999999945 20 30 20
116 3.8499999999999943 19 29 22
117 3.899999999999994 19 28 23
117 3.949999999999994 19 28 23
118 3.999999999999994 18 28 24
119 4.049999999999994 19 28 23
120 4.099999999999993 19 27 24
121 4.149999999999993 19 28 23
123 4.199999999999993 19 26 25
126 4.249999999999993 20 26 24
128 4.299999999999993 19 25 26
129 4.3499999999999925 19 24 27
130 4.399999999999992 18 24 28
132 4.449999999999992 18 24 28
133 4.499999999999992 17 24 29
133 4.549999999999992 17 24 29
136 4.599999999999992 17 23 30
138 4.6499999999999915 16 24 30
140 4.699999999999991 16 24 30
140 4.749999999999991 16 24 30
144 4.799999999999991 16 26 28
146 4.849999999999991 16 26 28
147 4.899999999999991 16 27 27
149 4.94999999999999 16 29 25
152 4.99999999999999 15 29 26
153 5.04999999999999 15 28 27
153 5.09999999999999 15 28 27
154 5.14999999999999 15 27 28
154 5.1999999999999895 15 27 28
157 5.249999999999989 16 29 25
160 5.299999999999989 18 30 22
162 5.349999999999989 19 29 22
163 5.399999999999989 20 29 21
166 5.449999999999989 20 30 20
166 5.4999999999999885 20 30 20
169 5.549999999999988 20 29 21
172 5.599999999999988 20 30 20
174 5.649999999999988 19 31 20
175 5.699999999999988 19 32 19
176 5.749999999999988 19 31 20
176 5.799999999999987 19 31 20
177 5.849999999999987 18 31 21
177 5.899999999999987 18 31 21
180 5.949999999999987 18 34 18
182 5.999999999999987 17 35 18
182 6.0499999999999865 17 35 18
184 6.099999999999986 17 37 16
184 6.149999999999986 17 37 16
188 6.199999999999986 18 34 18
188 6.249999999999986 18 34 18
191 6.299999999999986 18 37 15
193 6.349999999999985 18 37 15
194 6.399999999999985 18 36 16
195 6.449999999999985 18 37 15
198 6.499999999999985 17 37 16
198 6.549999999999985 17 37 16
202 6.5999999999999845 16 34 20
202 6.649999999999984 16 34 20
206 6.699999999999984 14 34 22
211 6.749999999999984 13 34 23
212 6.799999999999984 12 34 24
212 6.849999999999984 12 34 24
212 6.8999999999999835 12 34 24
213 6.949999999999983 11 34 25
213 6.999999999999983 11 34 25
217 7.049999999999983 12 33 25
219 7.099999999999983 13 34 23
222 7.149999999999983 12 36 22
223 7.199999999999982 12 35 23
224 7.249999999999982 11 35 24
226 7.299999999999982 13 35 22
228 7.349999999999982 14 36 20
228 7.399999999999982 14 36 20
228 7.4499999999999815 14 36 20
229 7.499999999999981 15 36 19
232 7.549999999999981 14 36 20
233 7.599999999999981 13 36 21
235 7.649999999999981 14 37 19
237 7.699999999999981 14 39 17
242 7.7499999999999805 15 37 18
244 7.79999999999998 16 36 18
245 7.84999999999998 16 35 19
