step time x y u
0 0.0 35 35 0
5 0.05 32 35 3
7 0.1 30 35 5
8 0.15000000000000002 30 36 4
9 0.2 31 36 3
10 0.25 30 36 4
15 0.3 27 36 7
21 0.35 25 34 11
24 0.39999999999999997 26 34 10
26 0.44999999999999996 25 35 10
28 0.49999999999999994 25 33 12
28 0.5499999999999999 25 33 12
29 0.6 26 33 11
30 0.65 27 33 10
32 0.7000000000000001 27 31 12
33 0.7500000000000001 27 30 13
35 0.8000000000000002 27 30 13
36 0.8500000000000002 26 30 14
36 0.9000000000000002 26 30 14
38 0.9500000000000003 25 31 14
41 1.0000000000000002 24 29 17
43 1.0500000000000003 23 30 17
43 1.1000000000000003 23 30 17
45 1.1500000000000004 23 30 17
46 1.2000000000000004 23 31 16
50 1.2500000000000004 23 31 16
50 1.3000000000000005 23 31 16
51 1.3500000000000005 22 31 17
51 1.4000000000000006 22 31 17
51 1.4500000000000006 22 31 17
53 1.5000000000000007 22 33 15
55 1.5500000000000007 21 32 17
57 1.6000000000000008 21 32 17
58 1.6500000000000008 21 33 16
59 1.7000000000000008 21 34 15
61 1.7500000000000009 21 34 15
63 1.800000000000001 21 34 15
64 1.850000000000001 20 34 16
67 1.900000000000001 18 33 19
67 1.950000000000001 18 33 19
70 2.000000000000001 18 32 20
71 2.0500000000000007 18 33 19
73 2.1000000000000005 18 35 17
77 2.1500000000000004 17 32 21
81 2.2 17 28 25
82 2.25 18 28 24
82 2.3 18 28 24
84 2.3499999999999996 19 27 24
87 2.3999999999999995 20 25 25
88 2.4499999999999993 20 24 26
88 2.499999999999999 20 24 26
89 2.549999999999999 20 23 27
91 2.5999999999999988 18 23 29
92 2.6499999999999986 18 24 28
93 2.6999999999999984 17 24 29
95 2.7499999999999982 18 23 29
96 2.799999999999998 18 22 30
96 2.849999999999998 18 22 30
99 2.8999999999999977 17 22 31
100 2.9499999999999975 17 21 32
100 2.9999999999999973 17 21 32
103 3.049999999999997 19 22 29
104 3.099999999999997 19 21 30
104 3.149999999999997 19 21 30
104 3.1999999999999966 19 21 30
104 3.2499999999999964 19 21 30
107 3.2999999999999963 18 21 31
108 3.349999999999996 18 22 30
110 3.399999999999996 17 23 30
112 3.4499999999999957 17 23 30
113 3.4999999999999956 18 23 29
115 3.5499999999999954 19 24 27
117 3.599999999999995 18 25 27
119 3.649999999999995 18 25 27
122 3.699999999999995 17 27 26
124 3.7499999999999947 17 27 26
125 3.7999999999999945 17 26 27
128 3.8499999999999943 17 23 30
129 3.899999999999994 17 24 29
131 3.949999999999994 17 24 29
131 3.999999999999994 17 24 29
132 4.049999999999994 18 24 28
133 4.099999999999993 18 25 27
136 4.149999999999993 18 26 26
136 4.199999999999993 18 26 26
136 4.249999999999993 18 26 26
138 4.299999999999993 18 26 26
140 4.3499999999999925 18 26 26
142 4.399999999999992 16 26 28
143 4.449999999999992 16 25 29
143 4.499999999999992 16 25 29
144 4.549999999999992 17 25 28
147 4.599999999999992 17 24 29
149 4.6499999999999915 15 24 31
151 4.699999999999991 17 24 29
152 4.749999999999991 18 24 28
155 4.799999999999991 19 24 27
155 4.849999999999991 19 24 27
155 4.899999999999991 19 24 27
160 4.94999999999999 19 23 28
162 4.99999999999999 19 23 28
163 5.04999999999999 19 22 29
163 5.09999999999999 19 22 29
166 5.14999999999999 19 23 28
168 5.1999999999999895 18 24 28
170 5.249999999999989 18 22 30
173 5.299999999999989 19 24 27
173 5.349999999999989 19 24 27
175 5.399999999999989 20 25 25
175 5.449999999999989 20 25 25
178 5.4999999999999885 22 26 22
182 5.549999999999988 24 28 18
183 5.599999999999988 25 28 17
188 5.649999999999988 23 29 18
190 5.699999999999988 21 29 20
191 5.749999999999988 21 28 21
195 5.799999999999987 21 26 23
198 5.849999999999987 22 28 20
199 5.899999999999987 22 27 21
199 5.949999999999987 22 27 21
199 5.999999999999987 22 27 21
201 6.0499999999999865 21 28 21
202 6.099999999999986 21 27 22
204 6.149999999999986 23 27 20
206 6.199999999999986 24 26 20
208 6.249999999999986 25 25 20
211 6.299999999999986 25 26 19
213 6.349999999999985 24 25 21
213 6.399999999999985 24 25 21
221 6.449999999999985 21 30 19
223 6.499999999999985 21 30 19
223 6.549999999999985 21 30 19
228 6.5999999999999845 22 28 20
229 6.649999999999984 21 28 21
231 6.699999999999984 21 30 19
234 6.749999999999984 22 30 18
236 6.799999999999984 22 30 18
238 6.849999999999984 21 29 20
238 6.8999999999999835 21 29 20
239 6.949999999999983 21 28 21
240 6.999999999999983 22 28 20
243 7.049999999999983 21 30 19
243 7.099999999999983 21 30 19
246 7.149999999999983 20 30 20
247 7.199999999999982 19 30 21
249 7.249999999999982 19 30 21
250 7.299999999999982 19 31 20
253 7.349999999999982 19 30 21
254 7.399999999999982 18 30 22
254 7.4499999999999815 18 30 22
257 7.499999999999981 18 27 25
257 7.549999999999981 18 27 25
258 7.599999999999981 18 28 24
260 7.649999999999981 17 29 24
264 7.699999999999981 18 30 22
268 7.7499999999999805 16 32 22
271 7.79999999999998 15 32 23
273 7.84999999999998 14 31 25
276 7.89999999999998 15 31 24
277 7.94999999999998 15 32 23
278 7.99999999999998 15 31 24
279 8.04999999999998 15 32 23
281 8.09999999999998 17 32 21
281 8.14999999999998 17 32 21
282 8.199999999999982 17 31 22
284 8.249999999999982 15 31 24
285 8.299999999999983 14 31 25
288 8.349999999999984 15 33 22
291 8.399999999999984 14 31 25
291 8.449999999999985 14 31 25
293 8.499999999999986 14 31 25
294 8.549999999999986 15 31 24
296 8.599999999999987 15 31 24
297 8.649999999999988 15 32 23
299 8.699999999999989 15 32 23
303 8.74999999999999 15 34 21
305 8.79999999999999 15 34 21
308 8.84999999999999 13 33 24
310 8.899999999999991 12 32 26
310 8.949999999999992 12 32 26
312 8.999999999999993 12 32 26
314 9.049999999999994 12 30 28
315 9.099999999999994 12 31 27
316 9.149999999999995 12 32 26
317 9.199999999999996 12 33 25
324 9.249999999999996 13 33 24
324 9.299999999999997 13 33 24
326 9.349999999999998 12 34 24
327 9.399999999999999 12 35 23
331 9.45 10 37 23
331 9.5 10 37 23
335 9.55 11 38 21
335 9.600000000000001 11 38 21
336 9.650000000000002 11 39 20
336 9.700000000000003 11 39 20
336 9.750000000000004 11 39 20
337 9.800000000000004 11 40 19
338 9.850000000000005 10 40 20
340 9.900000000000006 9 41 20
340 9.950000000000006 9 41 20
344 10.000000000000007 10 38 22
344 10.050000000000008 10 38 22
344 10.100000000000009 10 38 22
345 10.15000000000001 10 37 23
346 10.20000000000001 9 37 24
351 10.25000000000001 8 37 25
352 10.300000000000011 9 37 24
352 10.350000000000012 9 37 24
352 10.400000000000013 9 37 24
352 10.450000000000014 9 37 24
352 10.500000000000014 9 37 24
353 10.550000000000015 9 38 23
355 10.600000000000016 10 37 23
