step time x y u
0 0.0 35 35 0
2 0.05 35 33 2
3 0.1 35 32 3
3 0.15000000000000002 35 32 3
5 0.2 35 30 5
7 0.25 35 28 7
7 0.3 35 28 7
8 0.35 35 27 8
10 0.39999999999999997 33 27 10
11 0.44999999999999996 33 26 11
14 0.49999999999999994 31 25 14
16 0.5499999999999999 31 23 16
19 0.6 31 22 17
21 0.65 30 21 19
23 0.7000000000000001 31 20 19
25 0.7500000000000001 32 19 19
30 0.8000000000000002 33 19 18
30 0.8500000000000002 33 19 18
33 0.9000000000000002 35 20 15
38 0.9500000000000003 33 19 18
38 1.0000000000000002 33 19 18
38 1.0500000000000003 33 19 18
40 1.1000000000000003 31 19 20
40 1.1500000000000004 31 19 20
40 1.2000000000000004 31 19 20
41 1.2500000000000004 32 19 19
42 1.3000000000000005 32 20 18
43 1.3500000000000005 32 19 19
45 1.4000000000000006 32 19 19
49 1.4500000000000006 32 21 17
50 1.5000000000000007 31 21 18
50 1.5500000000000007 31 21 18
53 1.6000000000000008 32 23 15
55 1.6500000000000008 30 23 17
55 1.7000000000000008 30 23 17
56 1.7500000000000009 29 23 18
60 1.800000000000001 29 21 20
61 1.850000000000001 29 22 19
64 1.900000000000001 31 21 18
66 1.950000000000001 31 19 20
69 2.000000000000001 31 18 21
72 2.0500000000000007 32 18 20
76 2.1000000000000005 33 19 18
76 2.1500000000000004 33 19 18
78 2.2 34 18 18
79 2.25 34 19 17
79 2.3 34 19 17
82 2.3499999999999996 34 20 16
83 2.3999999999999995 33 20 17
85 2.4499999999999993 34 19 17
86 2.499999999999999 33 19 18
86 2.549999999999999 33 19 18
89 2.5999999999999988 32 19 19
90 2.6499999999999986 31 19 20
93 2.6999999999999984 30 17 23
93 2.7499999999999982 30 17 23
95 2.799999999999998 28 17 25
96 2.849999999999998 28 16 26
96 2.8999999999999977 28 16 26
97 2.9499999999999975 28 17 25
99 2.9999999999999973 27 18 25
100 3.049999999999997 27 19 24
101 3.099999999999997 28 19 23
103 3.149999999999997 30 19 21
105 3.1999999999999966 30 19 21
107 3.2499999999999964 31 20 19
107 3.2999999999999963 31 20 19
108 3.349999999999996 30 20 20
109 3.399999999999996 30 21 19
110 3.4499999999999957 30 20 20
112 3.4999999999999956 30 20 20
113 3.5499999999999954 29 20 21
115 3.599999999999995 30 21 19
115 3.649999999999995 30 21 19
116 3.699999999999995 29 21 20
119 3.7499999999999947 28 19 23
122 3.7999999999999945 28 18 24
124 3.8499999999999943 29 19 22
131 3.899999999999994 30 19 21
132 3.949999999999994 29 19 22
135 3.999999999999994 30 19 21
136 4.049999999999994 30 20 20
137 4.099999999999993 29 20 21
138 4.149999999999993 29 19 22
