step time x y u
0 0.0 35 35 0
1 0.05 34 35 1
3 0.1 34 33 3
5 0.15000000000000002 34 31 5
7 0.2 33 30 7
8 0.25 34 30 6
11 0.3 32 29 9
12 0.35 32 30 8
13 0.39999999999999997 32 29 9
15 0.44999999999999996 33 30 7
16 0.49999999999999994 32 30 8
16 0.5499999999999999 32 30 8
18 0.6 33 31 6
20 0.65 32 30 8
24 0.7000000000000001 34 30 6
25 0.7500000000000001 34 29 7
27 0.8000000000000002 34 31 5
28 0.8500000000000002 33 31 6
30 0.9000000000000002 32 30 8
31 0.9500000000000003 33 30 7
31 1.0000000000000002 33 30 7
31 1.0500000000000003 33 30 7
32 1.1000000000000003 32 30 8
33 1.1500000000000004 31 30 9
34 1.2000000000000004 30 30 10
36 1.2500000000000004 29 29 12
38 1.3000000000000005 29 31 10
41 1.3500000000000005 27 32 11
45 1.4000000000000006 24 33 13
48 1.4500000000000006 23 33 14
49 1.5000000000000007 22 33 15
50 1.5500000000000007 22 34 14
51 1.6000000000000008 23 34 13
53 1.6500000000000008 21 34 15
57 1.7000000000000008 20 33 17
58 1.7500000000000009 20 32 18
61 1.800000000000001 19 32 19
64 1.850000000000001 19 31 20
65 1.900000000000001 19 32 19
67 1.950000000000001 18 31 21
68 2.000000000000001 18 32 20
69 2.0500000000000007 18 33 19
69 2.1000000000000005 18 33 19
70 2.1500000000000004 18 34 18
71 2.2 18 35 17
71 2.25 18 35 17
71 2.3 18 35 17
72 2.3499999999999996 18 36 16
73 2.3999999999999995 17 36 17
75 2.4499999999999993 16 37 17
75 2.499999999999999 16 37 17
76 2.549999999999999 15 37 18
76 2.5999999999999988 15 37 18
80 2.6499999999999986 15 37 18
80 2.6999999999999984 15 37 18
84 2.7499999999999982 14 36 20
86 2.799999999999998 14 36 20
87 2.849999999999998 14 37 19
89 2.8999999999999977 13 38 19
89 2.9499999999999975 13 38 19
91 2.9999999999999973 13 36 21
91 3.049999999999997 13 36 21
92 3.099999999999997 12 36 22
95 3.149999999999997 12 35 23
97 3.1999999999999966 12 35 23
97 3.2499999999999964 12 35 23
97 3.2999999999999963 12 35 23
99 3.349999999999996 12 35 23
99 3.399999999999996 12 35 23
100 3.4499999999999957 12 34 24
102 3.4999999999999956 12 36 22
103 3.5499999999999954 12 35 23
103 3.599999999999995 12 35 23
105 3.649999999999995 12 35 23
107 3.699999999999995 13 34 23
108 3.7499999999999947 13 35 22
109 3.7999999999999945 13 36 21
111 3.8499999999999943 13 36 21
111 3.899999999999994 13 36 21
112 3.949999999999994 13 35 22
112 3.999999999999994 13 35 22
114 4.049999999999994 13 35 22
114 4.099999999999993 13 35 22
114 4.149999999999993 13 35 22
116 4.199999999999993 13 35 22
117 4.249999999999993 13 36 21
118 4.299999999999993 12 36 22
119 4.3499999999999925 13 36 21
122 4.399999999999992 12 34 24
122 4.449999999999992 12 34 24
124 4.499999999999992 11 35 24
126 4.549999999999992 11 35 24
126 4.599999999999992 11 35 24
127 4.6499999999999915 11 36 23
129 4.699999999999991 11 36 23
133 4.749999999999991 11 38 21
134 4.799999999999991 10 38 22
134 4.849999999999991 10 38 22
138 4.899999999999991 12 38 20
138 4.94999999999999 12 38 20
140 4.99999999999999 12 38 20
141 5.04999999999999 12 39 19
145 5.09999999999999 11 38 21
146 5.14999999999999 11 37 22
148 5.1999999999999895 12 36 22
148 5.249999999999989 12 36 22
148 5.299999999999989 12 36 22
149 5.349999999999989 13 36 21
153 5.399999999999989 13 36 21
154 5.449999999999989 12 36 22
155 5.4999999999999885 12 37 21
155 5.549999999999988 12 37 21
158 5.599999999999988 13 35 22
162 5.649999999999988 12 34 24
164 5.699999999999988 11 33 26
166 5.749999999999988 11 35 24
168 5.799999999999987 11 35 24
170 5.849999999999987 12 36 22
172 5.899999999999987 12 34 24
172 5.949999999999987 12 34 24
172 5.999999999999987 12 34 24
172 6.0499999999999865 12 34 24
174 6.099999999999986 12 32 26
177 6.149999999999986 14 33 23
179 6.199999999999986 14 33 23
181 6.249999999999986 14 35 21
183 6.299999999999986 13 34 23
184 6.349999999999985 13 35 22
185 6.399999999999985 13 36 21
185 6.449999999999985 13 36 21
188 6.499999999999985 15 35 20
188 6.549999999999985 15 35 20
188 6.5999999999999845 15 35 20
189 6.649999999999984 15 34 21
189 6.699999999999984 15 34 21
190 6.749999999999984 15 33 22
191 6.799999999999984 15 34 21
193 6.849999999999984 15 36 19
195 6.8999999999999835 15 36 19
197 6.949999999999983 16 35 19
199 6.999999999999983 15 34 21
199 7.049999999999983 15 34 21
200 7.099999999999983 14 34 22
200 7.149999999999983 14 34 22
203 7.199999999999982 13 34 23
206 7.249999999999982 14 34 22
207 7.299999999999982 15 34 21
209 7.349999999999982 16 35 19
210 7.399999999999982 16 36 18
213 7.4499999999999815 13 36 21
216 7.499999999999981 12 36 22
219 7.549999999999981 11 36 23
219 7.599999999999981 11 36 23
224 7.649999999999981 10 36 24
225 7.699999999999981 11 36 23
226 7.7499999999999805 11 37 22
227 7.79999999999998 11 36 23
228 7.84999999999998 11 37 22
