step time x y u
0 0.0 35 35 0
2 0.05 35 33 2
3 0.1 35 32 3
5 0.15000000000000002 35 30 5
6 0.2 34 30 6
7 0.25 33 30 7
8 0.3 34 30 6
10 0.35 34 30 6
13 0.39999999999999997 34 29 7
15 0.44999999999999996 34 29 7
17 0.49999999999999994 33 28 9
20 0.5499999999999999 31 27 12
21 0.6 31 28 11
24 0.65 29 27 14
28 0.7000000000000001 31 25 14
28 0.7500000000000001 31 25 14
30 0.8000000000000002 32 24 14
33 0.8500000000000002 31 22 17
33 0.9000000000000002 31 22 17
33 0.9500000000000003 31 22 17
35 1.0000000000000002 32 21 17
36 1.0500000000000003 32 20 18
38 1.1000000000000003 32 20 18
39 1.1500000000000004 31 20 19
41 1.2000000000000004 32 19 19
42 1.2500000000000004 33 19 18
46 1.3000000000000005 31 21 18
47 1.3500000000000005 31 22 17
49 1.4000000000000006 33 22 15
50 1.4500000000000006 33 21 16
52 1.5000000000000007 34 22 14
54 1.5500000000000007 35 23 12
56 1.6000000000000008 34 24 12
59 1.6500000000000008 33 24 13
61 1.7000000000000008 33 22 15
64 1.7500000000000009 31 23 16
64 1.800000000000001 31 23 16
65 1.850000000000001 31 22 17
69 1.900000000000001 31 20 19
71 1.950000000000001 31 20 19
73 2.000000000000001 31 20 19
74 2.0500000000000007 32 20 18
75 2.1000000000000005 31 20 19
75 2.1500000000000004 31 20 19
76 2.2 31 21 18
76 2.25 31 21 18
77 2.3 31 20 19
78 2.3499999999999996 32 20 18
80 2.3999999999999995 30 20 20
82 2.4499999999999993 29 21 20
83 2.499999999999999 30 21 19
85 2.549999999999999 28 21 21
89 2.5999999999999988 27 22 21
89 2.6499999999999986 27 22 21
89 2.6999999999999984 27 22 21
91 2.7499999999999982 28 21 21
96 2.799999999999998 28 22 20
97 2.849999999999998 28 23 19
98 2.8999999999999977 27 23 20
99 2.9499999999999975 27 24 19
104 2.9999999999999973 25 23 22
107 3.049999999999997 26 23 21
110 3.099999999999997 26 24 20
112 3.149999999999997 26 22 22
113 3.1999999999999966 26 21 23
115 3.2499999999999964 26 21 23
116 3.2999999999999963 26 20 24
116 3.349999999999996 26 20 24
118 3.399999999999996 26 20 24
120 3.4499999999999957 25 19 26
122 3.4999999999999956 25 19 26
127 3.5499999999999954 25 18 27
127 3.599999999999995 25 18 27
128 3.649999999999995 25 19 26
128 3.699999999999995 25 19 26
131 3.7499999999999947 26 19 25
132 3.7999999999999945 26 20 24
134 3.8499999999999943 26 20 24
139 3.899999999999994 25 20 25
141 3.949999999999994 26 19 25
143 3.999999999999994 25 18 27
145 4.049999999999994 25 18 27
146 4.099999999999993 26 18 26
149 4.149999999999993 26 19 25
