step time x y u
0 0.0 35 35 0
2 0.05 35 35 0
3 0.1 34 35 1
3 0.15000000000000002 34 35 1
3 0.2 34 35 1
4 0.25 34 34 2
6 0.3 33 33 4
10 0.35 31 31 8
11 0.39999999999999997 30 31 9
11 0.44999999999999996 30 31 9
11 0.49999999999999994 30 31 9
12 0.5499999999999999 31 31 8
14 0.6 31 31 8
18 0.65 30 30 10
21 0.7000000000000001 29 30 11
25 0.7500000000000001 29 28 13
30 0.8000000000000002 27 27 16
31 0.8500000000000002 28 27 15
34 0.9000000000000002 26 26 18
34 0.9500000000000003 26 26 18
35 1.0000000000000002 25 26 19
36 1.0500000000000003 25 27 18
37 1.1000000000000003 25 26 19
39 1.1500000000000004 26 27 17
39 1.2000000000000004 26 27 17
43 1.2500000000000004 26 25 19
45 1.3000000000000005 27 24 19
46 1.3500000000000005 27 25 18
46 1.4000000000000006 27 25 18
47 1.4500000000000006 27 26 17
49 1.5000000000000007 27 26 17
50 1.5500000000000007 26 26 18
50 1.6000000000000008 26 26 18
55 1.6500000000000008 25 28 17
57 1.7000000000000008 25 28 17
58 1.7500000000000009 24 28 18
59 1.800000000000001 23 28 19
59 1.850000000000001 23 28 19
59 1.900000000000001 23 28 19
61 1.950000000000001 24 27 19
62 2.000000000000001 24 26 20
65 2.0500000000000007 23 26 21
66 2.1000000000000005 24 26 20
68 2.1500000000000004 26 26 18
70 2.2 27 27 16
72 2.25 25 27 18
74 2.3 24 28 18
74 2.3499999999999996 24 28 18
76 2.3999999999999995 24 28 18
83 2.4499999999999993 22 29 19
84 2.499999999999999 21 29 20
86 2.549999999999999 21 29 20
89 2.5999999999999988 20 29 21
92 2.6499999999999986 20 30 20
94 2.6999999999999984 20 28 22
95 2.7499999999999982 19 28 23
96 2.799999999999998 18 28 24
99 2.849999999999998 16 27 27
101 2.8999999999999977 17 26 27
102 2.9499999999999975 16 26 28
106 2.9999999999999973 18 26 26
107 3.049999999999997 17 26 27
110 3.099999999999997 17 25 28
114 3.149999999999997 19 25 26
115 3.1999999999999966 19 24 27
117 3.2499999999999964 19 26 25
119 3.2999999999999963 18 25 27
119 3.349999999999996 18 25 27
122 3.399999999999996 20 24 26
126 3.4499999999999957 21 27 22
126 3.4999999999999956 21 27 22
126 3.5499999999999954 21 27 22
128 3.599999999999995 21 27 22
129 3.649999999999995 21 28 21
131 3.699999999999995 22 29 19
131 3.7499999999999947 22 29 19
133 3.7999999999999945 22 29 19
134 3.8499999999999943 22 28 20
137 3.899999999999994 23 26 21
138 3.949999999999994 23 25 22
139 3.999999999999994 23 26 21
142 4.049999999999994 21 25 24
143 4.099999999999993 20 25 25
145 4.149999999999993 19 26 25
146 4.199999999999993 19 27 24
147 4.249999999999993 19 26 25
151 4.299999999999993 21 24 25
152 4.3499999999999925 20 24 26
155 4.399999999999992 22 25 23
157 4.449999999999992 22 25 23
163 4.499999999999992 23 22 25
164 4.549999999999992 22 22 26
167 4.599999999999992 24 21 25
169 4.6499999999999915 25 20 25
170 4.699999999999991 24 20 26
171 4.749999999999991 24 19 27
171 4.799999999999991 24 19 27
174 4.849999999999991 25 19 26
176 4.899999999999991 26 20 24
177 4.94999999999999 26 19 25
180 4.99999999999999 26 20 24
182 5.04999999999999 25 21 24
184 5.09999999999999 27 21 22
185 5.14999999999999 27 22 21
187 5.1999999999999895 26 23 21
189 5.249999999999989 26 23 21
192 5.299999999999989 26 22 22
195 5.349999999999989 24 21 25
196 5.399999999999989 24 22 24
198 5.449999999999989 25 23 22
201 5.4999999999999885 26 23 21
203 5.549999999999988 26 23 21
203 5.599999999999988 26 23 21
206 5.649999999999988 27 23 20
206 5.699999999999988 27 23 20
208 5.749999999999988 27 25 18
211 5.799999999999987 27 24 19
213 5.849999999999987 26 25 19
215 5.899999999999987 24 25 21
216 5.949999999999987 23 25 22
217 5.999999999999987 22 25 23
218 6.0499999999999865 21 25 24
218 6.099999999999986 21 25 24
222 6.149999999999986 20 24 26
224 6.199999999999986 22 24 24
226 6.249999999999986 23 23 24
228 6.299999999999986 22 22 26
230 6.349999999999985 22 22 26
230 6.399999999999985 22 22 26
232 6.449999999999985 23 23 24
235 6.499999999999985 26 23 21
237 6.549999999999985 26 25 19
238 6.5999999999999845 26 24 20
240 6.649999999999984 24 24 22
244 6.699999999999984 21 23 26
245 6.749999999999984 20 23 27
247 6.799999999999984 19 24 27
247 6.849999999999984 19 24 27
250 6.8999999999999835 19 23 28
250 6.949999999999983 19 23 28
252 6.999999999999983 20 24 26
252 7.049999999999983 20 24 26
253 7.099999999999983 21 24 25
256 7.149999999999983 23 23 24
257 7.199999999999982 23 24 23
261 7.249999999999982 26 23 21
263 7.299999999999982 26 21 23
266 7.349999999999982 28 22 20
268 7.399999999999982 29 23 18
270 7.4499999999999815 29 23 18
274 7.499999999999981 27 23 20
276 7.549999999999981 27 21 22
276 7.599999999999981 27 21 22
278 7.649999999999981 27 21 22
280 7.699999999999981 27 21 22
282 7.7499999999999805 29 21 20
284 7.79999999999998 30 20 20
287 7.84999999999998 30 19 21
289 7.89999999999998 30 17 23
290 7.94999999999998 29 17 24
293 7.99999999999998 28 17 25
298 8.04999999999998 27 19 24
302 8.09999999999998 28 16 26
304 8.14999999999998 29 17 24
306 8.199999999999982 29 19 22
309 8.249999999999982 30 19 21
310 8.299999999999983 29 19 22
311 8.349999999999984 29 20 21
311 8.399999999999984 29 20 21
313 8.449999999999985 29 20 21
316 8.499999999999986 28 20 22
317 8.549999999999986 28 21 21
318 8.599999999999987 29 21 20
320 8.649999999999988 29 21 20
322 8.699999999999989 29 21 20
325 8.74999999999999 28 21 21
329 8.79999999999999 28 21 21
331 8.84999999999999 27 22 21
334 8.899999999999991 28 22 20
335 8.949999999999992 28 21 21
336 8.999999999999993 27 21 22
338 9.049999999999994 28 20 22
339 9.099999999999994 27 20 23
340 9.149999999999995 28 20 22
343 9.199999999999996 26 19 25
346 9.249999999999996 26 20 24
346 9.299999999999997 26 20 24
347 9.349999999999998 25 20 25
347 9.399999999999999 25 20 25
349 9.45 24 21 25
349 9.5 24 21 25
350 9.55 24 22 24
351 9.600000000000001 24 23 23
352 9.650000000000002 25 23 22
353 9.700000000000003 25 24 21
353 9.750000000000004 25 24 21
355 9.800000000000004 26 25 19
358 9.850000000000005 25 23 22
359 9.900000000000006 24 23 23
359 9.950000000000006 24 23 23
361 10.000000000000007 26 23 21
363 10.050000000000008 26 23 21
364 10.100000000000009 25 23 22
366 10.15000000000001 25 23 22
369 10.20000000000001 25 24 21
370 10.25000000000001 26 24 20
371 10.300000000000011 27 24 19
373 10.350000000000012 28 25 17
374 10.400000000000013 27 25 18
376 10.450000000000014 26 24 20
377 10.500000000000014 26 23 21
379 10.550000000000015 25 24 21
381 10.600000000000016 26 25 19
383 10.650000000000016 26 23 21
386 10.700000000000017 26 22 22
389 10.750000000000018 27 22 21
393 10.800000000000018 27 18 25
397 10.85000000000002 26 15 29
399 10.90000000000002 27 14 29
399 10.95000000000002 27 14 29
400 11.000000000000021 26 14 30
403 11.050000000000022 28 15 27
404 11.100000000000023 27 15 28
407 11.150000000000023 28 15 27
410 11.200000000000024 28 14 28
410 11.250000000000025 28 14 28
411 11.300000000000026 28 13 29
414 11.350000000000026 29 13 28
414 11.400000000000027 29 13 28
416 11.450000000000028 28 12 30
418 11.500000000000028 29 13 28
418 11.55000000000003 29 13 28
424 11.60000000000003 31 13 26
425 11.65000000000003 30 13 27
425 11.700000000000031 30 13 27
428 11.750000000000032 30 14 26
432 11.800000000000033 32 14 24
434 11.850000000000033 32 14 24
436 11.900000000000034 31 15 24
436 11.950000000000035 31 15 24
437 12.000000000000036 32 15 23
438 12.050000000000036 31 15 24
438 12.100000000000037 31 15 24
439 12.150000000000038 30 15 25
441 12.200000000000038 30 15 25
443 12.250000000000039 30 15 25
447 12.30000000000004 30 13 27
450 12.35000000000004 31 15 24
452 12.400000000000041 31 15 24
455 12.450000000000042 32 15 23
456 12.500000000000043 33 15 22
457 12.550000000000043 32 15 23
458 12.600000000000044 31 15 24
458 12.650000000000045 31 15 24
460 12.700000000000045 31 15 24
462 12.750000000000046 33 15 22
464 12.800000000000047 35 15 20
465 12.850000000000048 34 15 21
468 12.900000000000048 34 12 24
471 12.950000000000049 34 15 21
471 13.00000000000005 34 15 21
473 13.05000000000005 32 15 23
473 13.100000000000051 32 15 23
477 13.150000000000052 34 15 21
479 13.200000000000053 34 15 21
482 13.250000000000053 34 14 22
482 13.300000000000054 34 14 22
484 13.350000000000055 32 14 24
485 13.400000000000055 33 14 23
486 13.450000000000056 33 13 24
488 13.500000000000057 34 14 22
491 13.550000000000058 36 15 19
493 13.600000000000058 37 14 19
493 13.650000000000059 37 14 19
493 13.70000000000006 37 14 19
493 13.75000000000006 37 14 19
494 13.800000000000061 38 14 18
494 13.850000000000062 38 14 18
495 13.900000000000063 39 14 17
495 13.950000000000063 39 14 17
496 14.000000000000064 39 15 16
