step time x y u
0 0.0 35 35 0
3 0.05 34 33 3
4 0.1 34 32 4
7 0.15000000000000002 32 31 7
7 0.2 32 31 7
10 0.25 29 31 10
13 0.3 29 32 9
13 0.35 29 32 9
14 0.39999999999999997 28 32 10
16 0.44999999999999996 27 33 10
20 0.49999999999999994 26 32 12
22 0.5499999999999999 26 30 14
24 0.6 26 28 16
25 0.65 26 27 17
26 0.7000000000000001 26 28 16
28 0.7500000000000001 25 27 18
31 0.8000000000000002 25 26 19
33 0.8500000000000002 25 28 17
35 0.9000000000000002 24 27 19
36 0.9500000000000003 23 27 20
36 1.0000000000000002 23 27 20
37 1.0500000000000003 22 27 21
38 1.1000000000000003 21 27 22
39 1.1500000000000004 20 27 23
40 1.2000000000000004 21 27 22
42 1.2500000000000004 20 28 22
45 1.3000000000000005 20 25 25
47 1.3500000000000005 19 26 25
47 1.4000000000000006 19 26 25
48 1.4500000000000006 20 26 24
51 1.5000000000000007 20 25 25
51 1.5500000000000007 20 25 25
51 1.6000000000000008 20 25 25
56 1.6500000000000008 21 23 26
58 1.7000000000000008 22 22 26
59 1.7500000000000009 21 22 27
60 1.800000000000001 21 21 28
60 1.850000000000001 21 21 28
64 1.900000000000001 20 20 30
65 1.950000000000001 20 21 29
65 2.000000000000001 20 21 29
67 2.0500000000000007 19 22 29
74 2.1000000000000005 19 21 30
75 2.1500000000000004 20 21 29
76 2.2 20 22 28
77 2.25 19 22 29
77 2.3 19 22 29
78 2.3499999999999996 18 22 30
79 2.3999999999999995 19 22 29
81 2.4499999999999993 20 23 27
81 2.499999999999999 20 23 27
84 2.549999999999999 21 23 26
86 2.5999999999999988 21 25 24
88 2.6499999999999986 22 26 22
91 2.6999999999999984 21 28 21
91 2.7499999999999982 21 28 21
91 2.799999999999998 21 28 21
91 2.849999999999998 21 28 21
94 2.8999999999999977 21 29 20
97 2.9499999999999975 20 31 19
98 2.9999999999999973 20 30 20
99 3.049999999999997 19 30 21
101 3.099999999999997 19 30 21
102 3.149999999999997 18 30 22
104 3.1999999999999966 18 30 22
105 3.2499999999999964 17 30 23
105 3.2999999999999963 17 30 23
108 3.349999999999996 17 31 22
109 3.399999999999996 17 30 23
110 3.4499999999999957 17 31 22
112 3.4999999999999956 16 32 22
114 3.5499999999999954 16 30 24
116 3.599999999999995 17 29 24
117 3.649999999999995 17 30 23
119 3.699999999999995 16 31 23
122 3.7499999999999947 15 29 26
125 3.7999999999999945 14 31 25
126 3.8499999999999943 14 32 24
127 3.899999999999994 15 32 23
128 3.949999999999994 15 31 24
129 3.999999999999994 15 30 25
130 4.049999999999994 14 30 26
131 4.099999999999993 14 31 25
132 4.149999999999993 14 32 24
133 4.199999999999993 13 32 25
135 4.249999999999993 14 33 23
136 4.299999999999993 14 34 22
137 4.3499999999999925 14 35 21
138 4.399999999999992 14 36 20
143 4.449999999999992 15 34 21
147 4.499999999999992 15 36 19
149 4.549999999999992 14 35 21
149 4.599999999999992 14 35 21
149 4.6499999999999915 14 35 21
151 4.699999999999991 13 34 23
152 4.749999999999991 13 33 24
153 4.799999999999991 13 32 25
156 4.849999999999991 13 31 26
158 4.899999999999991 13 31 26
158 4.94999999999999 13 31 26
159 4.99999999999999 13 32 25
159 5.04999999999999 13 32 25
161 5.09999999999999 13 32 25
163 5.14999999999999 13 32 25
166 5.1999999999999895 13 31 26
167 5.249999999999989 12 31 27
168 5.299999999999989 12 30 28
