step time x y u
0 0.0 35 35 0
4 0.05 33 33 4
6 0.1 32 32 6
7 0.15000000000000002 32 31 7
8 0.2 32 30 8
11 0.25 30 31 9
13 0.3 28 31 11
15 0.35 27 32 11
15 0.39999999999999997 27 32 11
18 0.44999999999999996 27 31 12
20 0.49999999999999994 27 29 14
21 0.5499999999999999 27 28 15
21 0.6 27 28 15
23 0.65 28 27 15
23 0.7000000000000001 28 27 15
25 0.7500000000000001 30 27 13
26 0.8000000000000002 30 26 14
28 0.8500000000000002 29 25 16
29 0.9000000000000002 30 25 15
31 0.9500000000000003 29 24 17
32 1.0000000000000002 28 24 18
35 1.0500000000000003 30 23 17
36 1.1000000000000003 30 24 16
38 1.1500000000000004 30 24 16
38 1.2000000000000004 30 24 16
38 1.2500000000000004 30 24 16
40 1.3000000000000005 31 23 16
42 1.3500000000000005 31 23 16
44 1.4000000000000006 31 23 16
45 1.4500000000000006 31 22 17
50 1.5000000000000007 31 21 18
53 1.5500000000000007 33 22 15
53 1.6000000000000008 33 22 15
53 1.6500000000000008 33 22 15
55 1.7000000000000008 32 21 17
55 1.7500000000000009 32 21 17
57 1.800000000000001 31 22 17
59 1.850000000000001 30 21 19
62 1.900000000000001 30 20 20
62 1.950000000000001 30 20 20
64 2.000000000000001 31 19 20
65 2.0500000000000007 31 18 21
66 2.1000000000000005 31 19 20
68 2.1500000000000004 31 19 20
71 2.2 33 20 17
72 2.25 34 20 16
73 2.3 33 20 17
75 2.3499999999999996 34 19 17
76 2.3999999999999995 35 19 16
76 2.4499999999999993 35 19 16
78 2.499999999999999 36 18 16
79 2.549999999999999 37 18 15
81 2.5999999999999988 37 18 15
83 2.6499999999999986 37 18 15
83 2.6999999999999984 37 18 15
85 2.7499999999999982 36 17 17
86 2.799999999999998 37 17 16
90 2.849999999999998 35 17 18
92 2.8999999999999977 36 18 16
94 2.9499999999999975 35 19 16
96 2.9999999999999973 35 19 16
97 3.049999999999997 35 18 17
97 3.099999999999997 35 18 17
100 3.149999999999997 35 19 16
101 3.1999999999999966 35 20 15
104 3.2499999999999964 35 19 16
104 3.2999999999999963 35 19 16
106 3.349999999999996 35 19 16
110 3.399999999999996 36 18 16
114 3.4499999999999957 37 15 18
114 3.4999999999999956 37 15 18
116 3.5499999999999954 38 16 16
118 3.599999999999995 38 16 16
119 3.649999999999995 37 16 17
122 3.699999999999995 35 15 20
127 3.7499999999999947 33 16 21
129 3.7999999999999945 33 14 23
131 3.8499999999999943 32 15 23
132 3.899999999999994 32 16 22
134 3.949999999999994 30 16 24
136 3.999999999999994 32 16 22
139 4.049999999999994 33 16 21
142 4.099999999999993 32 16 22
142 4.149999999999993 32 16 22
142 4.199999999999993 32 16 22
142 4.249999999999993 32 16 22
143 4.299999999999993 32 17 21
144 4.3499999999999925 32 18 20
145 4.399999999999992 33 18 19
148 4.449999999999992 31 19 20
149 4.499999999999992 31 18 21
150 4.549999999999992 30 18 22
150 4.599999999999992 30 18 22
151 4.6499999999999915 31 18 21
152 4.699999999999991 31 17 22
154 4.749999999999991 32 16 22
154 4.799999999999991 32 16 22
156 4.849999999999991 34 16 20
158 4.899999999999991 33 15 22
159 4.94999999999999 33 16 21
