step time x y u
0 0.0 35 35 0
5 0.05 33 32 5
7 0.1 32 31 7
7 0.15000000000000002 32 31 7
11 0.2 31 28 11
13 0.25 29 28 13
15 0.3 29 30 11
15 0.35 29 30 11
15 0.39999999999999997 29 30 11
19 0.44999999999999996 29 30 11
22 0.49999999999999994 30 30 10
24 0.5499999999999999 30 30 10
25 0.6 29 30 11
27 0.65 30 29 11
29 0.7000000000000001 29 28 13
31 0.7500000000000001 28 29 13
32 0.8000000000000002 28 28 14
33 0.8500000000000002 27 28 15
34 0.9000000000000002 27 29 14
36 0.9500000000000003 27 29 14
38 1.0000000000000002 27 29 14
39 1.0500000000000003 27 30 13
42 1.1000000000000003 25 29 16
45 1.1500000000000004 24 29 17
48 1.2000000000000004 25 27 18
50 1.2500000000000004 23 27 20
52 1.3000000000000005 22 26 22
52 1.3500000000000005 22 26 22
52 1.4000000000000006 22 26 22
53 1.4500000000000006 22 25 23
54 1.5000000000000007 21 25 24
57 1.5500000000000007 22 25 23
58 1.6000000000000008 22 24 24
61 1.6500000000000008 23 22 25
64 1.7000000000000008 24 22 24
65 1.7500000000000009 23 22 25
67 1.800000000000001 22 21 27
71 1.850000000000001 20 23 27
71 1.900000000000001 20 23 27
73 1.950000000000001 20 21 29
77 2.000000000000001 21 20 29
80 2.0500000000000007 20 20 30
80 2.1000000000000005 20 20 30
83 2.1500000000000004 19 18 33
84 2.2 19 19 32
86 2.25 19 19 32
86 2.3 19 19 32
87 2.3499999999999996 19 20 31
90 2.3999999999999995 19 19 32
92 2.4499999999999993 18 18 34
95 2.499999999999999 18 19 33
98 2.549999999999999 17 19 34
101 2.5999999999999988 17 22 31
101 2.6499999999999986 17 22 31
102 2.6999999999999984 17 23 30
102 2.7499999999999982 17 23 30
103 2.799999999999998 18 23 29
104 2.849999999999998 18 22 30
106 2.8999999999999977 19 23 28
108 2.9499999999999975 19 23 28
111 2.9999999999999973 20 23 27
111 3.049999999999997 20 23 27
111 3.099999999999997 20 23 27
113 3.149999999999997 21 24 25
115 3.1999999999999966 21 26 23
117 3.2499999999999964 21 26 23
117 3.2999999999999963 21 26 23
117 3.349999999999996 21 26 23
119 3.399999999999996 20 27 23
120 3.4499999999999957 20 26 24
122 3.4999999999999956 22 26 22
124 3.5499999999999954 22 28 20
126 3.599999999999995 23 27 20
127 3.649999999999995 22 27 21
130 3.699999999999995 22 26 22
132 3.7499999999999947 22 28 20
134 3.7999999999999945 22 26 22
135 3.8499999999999943 22 27 21
136 3.899999999999994 22 28 20
137 3.949999999999994 23 28 19
141 3.999999999999994 21 28 21
142 4.049999999999994 21 27 22
142 4.099999999999993 21 27 22
147 4.149999999999993 22 27 21
151 4.199999999999993 23 28 19
153 4.249999999999993 22 27 21
153 4.299999999999993 22 27 21
154 4.3499999999999925 23 27 20
154 4.399999999999992 23 27 20
155 4.449999999999992 23 26 21
156 4.499999999999992 23 25 22
156 4.549999999999992 23 25 22
157 4.599999999999992 23 26 21
158 4.6499999999999915 23 27 20
160 4.699999999999991 22 28 20
160 4.749999999999991 22 28 20
162 4.799999999999991 22 26 22
166 4.849999999999991 22 28 20
167 4.899999999999991 21 28 21
170 4.94999999999999 21 29 20
172 4.99999999999999 20 30 20
174 5.04999999999999 20 30 20
174 5.09999999999999 20 30 20
175 5.14999999999999 20 31 19
175 5.1999999999999895 20 31 19
177 5.249999999999989 21 32 17
178 5.299999999999989 22 32 16
179 5.349999999999989 23 32 15
179 5.399999999999989 23 32 15
183 5.449999999999989 21 34 15
187 5.4999999999999885 19 34 17
187 5.549999999999988 19 34 17
188 5.599999999999988 19 33 18
193 5.649999999999988 18 33 19
193 5.699999999999988 18 33 19
197 5.749999999999988 16 33 21
199 5.799999999999987 15 32 23
200 5.849999999999987 14 32 24
202 5.899999999999987 13 33 24
204 5.949999999999987 13 33 24
205 5.999999999999987 13 34 23
207 6.0499999999999865 14 35 21
209 6.099999999999986 14 33 23
211 6.149999999999986 14 35 21
211 6.199999999999986 14 35 21
214 6.249999999999986 12 36 22
215 6.299999999999986 12 37 21
216 6.349999999999985 12 38 20
218 6.399999999999985 11 37 22
219 6.449999999999985 11 36 23
221 6.499999999999985 11 36 23
223 6.549999999999985 11 36 23
227 6.5999999999999845 11 38 21
227 6.649999999999984 11 38 21
231 6.699999999999984 11 40 19
233 6.749999999999984 11 40 19
236 6.799999999999984 10 40 20
237 6.849999999999984 9 40 21
238 6.8999999999999835 8 40 22
240 6.949999999999983 9 41 20
241 6.999999999999983 9 40 21
243 7.049999999999983 8 39 23
243 7.099999999999983 8 39 23
245 7.149999999999983 9 40 21
248 7.199999999999982 10 40 20
249 7.249999999999982 10 39 21
251 7.299999999999982 10 39 21
252 7.349999999999982 10 40 20
252 7.399999999999982 10 40 20
253 7.4499999999999815 10 41 19
255 7.499999999999981 10 43 17
257 7.549999999999981 10 43 17
259 7.599999999999981 10 41 19
261 7.649999999999981 10 39 21
262 7.699999999999981 10 40 20
263 7.7499999999999805 9 40 21
264 7.79999999999998 10 40 20
266 7.84999999999998 11 39 20
267 7.89999999999998 12 39 19
268 7.94999999999998 11 39 20
270 7.99999999999998 11 41 18
271 8.04999999999998 12 41 17
272 8.09999999999998 11 41 18
272 8.14999999999998 11 41 18
274 8.199999999999982 13 41 16
274 8.249999999999982 13 41 16
276 8.299999999999983 12 40 18
279 8.349999999999984 12 41 17
280 8.399999999999984 12 42 16
282 8.449999999999985 12 42 16
284 8.499999999999986 12 44 14
287 8.549999999999986 12 43 15
288 8.599999999999987 12 42 16
291 8.649999999999988 10 41 19
293 8.699999999999989 10 41 19
293 8.74999999999999 10 41 19
294 8.79999999999999 10 40 20
296 8.84999999999999 9 41 20
298 8.899999999999991 8 40 22
299 8.949999999999992 8 41 21
300 8.999999999999993 7 41 22
300 9.049999999999994 7 41 22
300 9.099999999999994 7 41 22
302 9.149999999999995 6 40 24
304 9.199999999999996 6 38 26
307 9.249999999999996 6 41 23
307 9.299999999999997 6 41 23
308 9.349999999999998 6 42 22
310 9.399999999999999 7 41 22
311 9.45 7 40 23
314 9.5 8 42 20
316 9.55 7 43 20
316 9.600000000000001 7 43 20
317 9.650000000000002 7 42 21
321 9.700000000000003 6 45 19
322 9.750000000000004 6 46 18
325 9.800000000000004 6 43 21
326 9.850000000000005 6 44 20
326 9.900000000000006 6 44 20
326 9.950000000000006 6 44 20
328 10.000000000000007 6 44 20
329 10.050000000000008 7 44 19
330 10.100000000000009 7 45 18
331 10.15000000000001 7 44 19
332 10.20000000000001 8 44 18
332 10.25000000000001 8 44 18
332 10.300000000000011 8 44 18
333 10.350000000000012 7 44 19
334 10.400000000000013 7 43 20
335 10.450000000000014 7 44 19
340 10.500000000000014 6 46 18
341 10.550000000000015 6 47 17
342 10.600000000000016 7 47 16
343 10.650000000000016 7 46 17
343 10.700000000000017 7 46 17
344 10.750000000000018 7 45 18
346 10.800000000000018 7 45 18
348 10.85000000000002 7 43 20
350 10.90000000000002 6 44 20
353 10.95000000000002 6 45 19
354 11.000000000000021 6 44 20
355 11.050000000000022 6 45 19
357 11.100000000000023 6 47 17
357 11.150000000000023 6 47 17
360 11.200000000000024 7 49 14
360 11.250000000000025 7 49 14
361 11.300000000000026 7 50 13
363 11.350000000000026 6 49 15
363 11.400000000000027 6 49 15
366 11.450000000000028 5 47 18
366 11.500000000000028 5 47 18
367 11.55000000000003 5 48 17
367 11.60000000000003 5 48 17
369 11.65000000000003 5 46 19
372 11.700000000000031 5 45 20
372 11.750000000000032 5 45 20
372 11.800000000000033 5 45 20
374 11.850000000000033 4 44 22
376 11.900000000000034 4 42 24
