step time x y u
0 0.0 35 35 0
4 0.05 33 33 4
6 0.1 32 32 6
7 0.15000000000000002 33 32 5
7 0.2 33 32 5
9 0.25 33 30 7
11 0.3 31 30 9
12 0.35 31 31 8
14 0.39999999999999997 30 30 10
16 0.44999999999999996 31 29 10
17 0.49999999999999994 31 30 9
19 0.5499999999999999 32 29 9
22 0.6 30 28 12
22 0.65 30 28 12
22 0.7000000000000001 30 28 12
22 0.7500000000000001 30 28 12
22 0.8000000000000002 30 28 12
22 0.8500000000000002 30 28 12
23 0.9000000000000002 29 28 13
25 0.9500000000000003 29 28 13
29 1.0000000000000002 28 25 17
31 1.0500000000000003 28 25 17
34 1.1000000000000003 29 25 16
34 1.1500000000000004 29 25 16
34 1.2000000000000004 29 25 16
36 1.2500000000000004 31 25 14
37 1.3000000000000005 31 26 13
39 1.3500000000000005 32 25 13
40 1.4000000000000006 31 25 14
41 1.4500000000000006 30 25 15
43 1.5000000000000007 28 25 17
44 1.5500000000000007 27 25 18
44 1.6000000000000008 27 25 18
46 1.6500000000000008 28 24 18
50 1.7000000000000008 27 23 20
53 1.7500000000000009 27 22 21
53 1.800000000000001 27 22 21
53 1.850000000000001 27 22 21
55 1.900000000000001 26 21 23
55 1.950000000000001 26 21 23
61 2.000000000000001 26 19 25
63 2.0500000000000007 25 20 25
65 2.1000000000000005 25 20 25
65 2.1500000000000004 25 20 25
67 2.2 24 19 27
70 2.25 24 18 28
70 2.3 24 18 28
72 2.3499999999999996 25 17 28
73 2.3999999999999995 25 18 27
74 2.4499999999999993 26 18 26
74 2.499999999999999 26 18 26
75 2.549999999999999 26 19 25
76 2.5999999999999988 26 18 26
77 2.6499999999999986 25 18 27
78 2.6999999999999984 25 19 26
79 2.7499999999999982 26 19 25
81 2.799999999999998 27 20 23
84 2.849999999999998 28 18 24
85 2.8999999999999977 28 19 23
85 2.9499999999999975 28 19 23
85 2.9999999999999973 28 19 23
86 3.049999999999997 28 20 22
89 3.099999999999997 28 19 23
91 3.149999999999997 28 17 25
92 3.1999999999999966 27 17 26
95 3.2499999999999964 28 17 25
98 3.2999999999999963 27 17 26
100 3.349999999999996 26 16 28
100 3.399999999999996 26 16 28
102 3.4499999999999957 25 17 28
105 3.4999999999999956 26 17 27
107 3.5499999999999954 27 16 27
108 3.599999999999995 26 16 28
109 3.649999999999995 25 16 29
111 3.699999999999995 26 17 27
115 3.7499999999999947 27 20 23
116 3.7999999999999945 27 19 24
120 3.8499999999999943 26 22 22
121 3.899999999999994 26 21 23
126 3.949999999999994 26 22 22
126 3.999999999999994 26 22 22
129 4.049999999999994 26 23 21
132 4.099999999999993 27 25 18
134 4.149999999999993 25 25 20
134 4.199999999999993 25 25 20
140 4.249999999999993 25 27 18
141 4.299999999999993 24 27 19
142 4.3499999999999925 25 27 18
144 4.399999999999992 23 27 20
145 4.449999999999992 23 26 21
145 4.499999999999992 23 26 21
146 4.549999999999992 23 27 20
148 4.599999999999992 23 27 20
148 4.6499999999999915 23 27 20
148 4.699999999999991 23 27 20
149 4.749999999999991 22 27 21
151 4.799999999999991 20 27 23
156 4.849999999999991 18 28 24
158 4.899999999999991 18 26 26
161 4.94999999999999 16 25 29
