step time x y u
0 0.0 35 35 0
2 0.05 35 33 2
4 0.1 34 32 4
5 0.15000000000000002 35 32 3
10 0.2 32 32 6
12 0.25 31 31 8
15 0.3 31 30 9
17 0.35 29 30 11
18 0.39999999999999997 29 31 10
18 0.44999999999999996 29 31 10
22 0.49999999999999994 29 31 10
25 0.5499999999999999 27 32 11
29 0.6 24 33 13
33 0.65 23 34 13
34 0.7000000000000001 23 33 14
35 0.7500000000000001 24 33 13
35 0.8000000000000002 24 33 13
37 0.8500000000000002 24 33 13
38 0.9000000000000002 25 33 12
41 0.9500000000000003 23 34 13
43 1.0000000000000002 23 34 13
47 1.0500000000000003 24 33 13
47 1.1000000000000003 24 33 13
50 1.1500000000000004 22 32 16
51 1.2000000000000004 21 32 17
51 1.2500000000000004 21 32 17
51 1.3000000000000005 21 32 17
52 1.3500000000000005 21 31 18
52 1.4000000000000006 21 31 18
55 1.4500000000000006 21 32 17
57 1.5000000000000007 21 32 17
59 1.5500000000000007 21 32 17
61 1.6000000000000008 21 32 17
63 1.6500000000000008 21 32 17
65 1.7000000000000008 22 31 17
66 1.7500000000000009 21 31 18
67 1.800000000000001 21 30 19
69 1.850000000000001 21 30 19
71 1.900000000000001 23 30 17
72 1.950000000000001 23 31 16
74 2.000000000000001 22 32 16
75 2.0500000000000007 23 32 15
80 2.1000000000000005 21 33 16
81 2.1500000000000004 21 34 15
81 2.2 21 34 15
84 2.25 21 33 16
86 2.3 21 35 14
88 2.3499999999999996 22 36 12
90 2.3999999999999995 22 36 12
92 2.4499999999999993 22 36 12
95 2.499999999999999 21 36 13
98 2.549999999999999 21 33 16
99 2.5999999999999988 20 33 17
104 2.6499999999999986 22 34 14
105 2.6999999999999984 22 33 15
107 2.7499999999999982 22 33 15
109 2.799999999999998 21 32 17
110 2.849999999999998 21 31 18
111 2.8999999999999977 21 30 19
112 2.9499999999999975 21 31 18
116 2.9999999999999973 20 30 20
118 3.049999999999997 21 29 20
119 3.099999999999997 22 29 19
119 3.149999999999997 22 29 19
122 3.1999999999999966 21 29 20
123 3.2499999999999964 21 30 19
126 3.2999999999999963 22 30 18
128 3.349999999999996 22 30 18
130 3.399999999999996 23 31 16
132 3.4499999999999957 24 30 16
133 3.4999999999999956 24 31 15
134 3.5499999999999954 23 31 16
134 3.599999999999995 23 31 16
136 3.649999999999995 22 32 16
137 3.699999999999995 21 32 17
140 3.7499999999999947 22 32 16
142 3.7999999999999945 23 33 14
142 3.8499999999999943 23 33 14
142 3.899999999999994 23 33 14
143 3.949999999999994 23 32 15
146 3.999999999999994 23 31 16
149 4.049999999999994 24 31 15
151 4.099999999999993 24 31 15
154 4.149999999999993 24 30 16
