step time x y u
0 0.0 35 35 0
3 0.05 34 33 3
7 0.1 33 30 7
7 0.15000000000000002 33 30 7
11 0.2 30 29 11
15 0.25 30 29 11
17 0.3 29 28 13
18 0.35 30 28 12
20 0.39999999999999997 30 26 14
21 0.44999999999999996 30 25 15
23 0.49999999999999994 30 25 15
25 0.5499999999999999 30 25 15
25 0.6 30 25 15
28 0.65 31 25 14
28 0.7000000000000001 31 25 14
30 0.7500000000000001 32 24 14
35 0.8000000000000002 31 24 15
36 0.8500000000000002 30 24 16
37 0.9000000000000002 30 23 17
38 0.9500000000000003 29 23 18
39 1.0000000000000002 29 22 19
43 1.0500000000000003 29 20 21
45 1.1000000000000003 27 20 23
46 1.1500000000000004 26 20 24
50 1.2000000000000004 25 19 26
52 1.2500000000000004 25 19 26
55 1.3000000000000005 27 18 25
56 1.3500000000000005 26 18 26
61 1.4000000000000006 27 18 25
62 1.4500000000000006 27 17 26
63 1.5000000000000007 28 17 25
64 1.5500000000000007 28 16 26
64 1.6000000000000008 28 16 26
66 1.6500000000000008 26 16 28
67 1.7000000000000008 26 17 27
69 1.7500000000000009 27 16 27
72 1.800000000000001 27 15 28
74 1.850000000000001 28 14 28
77 1.900000000000001 29 14 27
79 1.950000000000001 30 13 27
81 2.000000000000001 32 13 25
82 2.0500000000000007 31 13 26
83 2.1000000000000005 31 14 25
85 2.1500000000000004 31 14 25
88 2.2 33 13 24
89 2.25 32 13 25
94 2.3 32 14 24
94 2.3499999999999996 32 14 24
96 2.3999999999999995 32 14 24
96 2.4499999999999993 32 14 24
99 2.499999999999999 33 12 25
99 2.549999999999999 33 12 25
99 2.5999999999999988 33 12 25
102 2.6499999999999986 33 11 26
104 2.6999999999999984 34 12 24
104 2.7499999999999982 34 12 24
107 2.799999999999998 34 11 25
110 2.849999999999998 31 11 28
112 2.8999999999999977 29 11 30
117 2.9499999999999975 29 14 27
121 2.9999999999999973 30 13 27
125 3.049999999999997 30 15 25
127 3.099999999999997 31 16 23
129 3.149999999999997 30 17 23
129 3.1999999999999966 30 17 23
133 3.2499999999999964 30 17 23
133 3.2999999999999963 30 17 23
133 3.349999999999996 30 17 23
134 3.399999999999996 31 17 22
134 3.4499999999999957 31 17 22
136 3.4999999999999956 31 17 22
137 3.5499999999999954 32 17 21
139 3.599999999999995 32 17 21
140 3.649999999999995 33 17 20
142 3.699999999999995 35 17 18
144 3.7499999999999947 35 17 18
145 3.7999999999999945 34 17 19
145 3.8499999999999943 34 17 19
146 3.899999999999994 33 17 20
147 3.949999999999994 33 18 19
153 3.999999999999994 33 18 19
157 4.049999999999994 33 18 19
158 4.099999999999993 33 17 20
158 4.149999999999993 33 17 20
159 4.199999999999993 34 17 19
160 4.249999999999993 35 17 18
162 4.299999999999993 34 16 20
165 4.3499999999999925 35 16 19
166 4.399999999999992 34 16 20
168 4.449999999999992 34 16 20
171 4.499999999999992 36 17 17
174 4.549999999999992 36 16 18
176 4.599999999999992 36 18 16
179 4.6499999999999915 36 17 17
180 4.699999999999991 37 17 16
181 4.749999999999991 36 17 17
183 4.799999999999991 35 18 17
186 4.849999999999991 33 17 20
187 4.899999999999991 34 17 19
189 4.94999999999999 34 17 19
189 4.99999999999999 34 17 19
192 5.04999999999999 35 17 18
193 5.09999999999999 35 16 19
194 5.14999999999999 36 16 18
197 5.1999999999999895 33 16 21
202 5.249999999999989 34 14 22
204 5.299999999999989 34 16 20
