step time x y u
0 0.0 35 35 0
3 0.05 32 35 3
4 0.1 33 35 2
5 0.15000000000000002 33 34 3
8 0.2 33 33 4
10 0.25 31 33 6
11 0.3 31 32 7
13 0.35 29 32 9
13 0.39999999999999997 29 32 9
16 0.44999999999999996 29 31 10
19 0.49999999999999994 27 32 11
21 0.5499999999999999 26 31 13
25 0.6 27 28 15
28 0.65 27 29 14
29 0.7000000000000001 27 28 15
31 0.7500000000000001 26 27 17
35 0.8000000000000002 25 24 21
37 0.8500000000000002 25 24 21
42 0.9000000000000002 24 22 24
43 0.9500000000000003 24 21 25
44 1.0000000000000002 24 22 24
45 1.0500000000000003 24 23 23
45 1.1000000000000003 24 23 23
46 1.1500000000000004 25 23 22
50 1.2000000000000004 26 26 18
52 1.2500000000000004 27 25 18
55 1.3000000000000005 27 24 19
58 1.3500000000000005 27 25 18
62 1.4000000000000006 27 25 18
64 1.4500000000000006 27 25 18
67 1.5000000000000007 27 26 17
72 1.5500000000000007 29 23 18
74 1.6000000000000008 30 22 18
76 1.6500000000000008 32 22 16
80 1.7000000000000008 35 21 14
80 1.7500000000000009 35 21 14
80 1.800000000000001 35 21 14
86 1.850000000000001 32 22 16
88 1.900000000000001 31 23 16
88 1.950000000000001 31 23 16
90 2.000000000000001 33 23 14
92 2.0500000000000007 34 22 14
95 2.1000000000000005 34 21 15
96 2.1500000000000004 34 20 16
97 2.2 35 20 15
97 2.25 35 20 15
97 2.3 35 20 15
99 2.3499999999999996 35 20 15
100 2.3999999999999995 35 19 16
103 2.4499999999999993 35 18 17
105 2.499999999999999 33 18 19
105 2.549999999999999 33 18 19
107 2.5999999999999988 31 18 21
108 2.6499999999999986 32 18 20
110 2.6999999999999984 30 18 22
111 2.7499999999999982 29 18 23
112 2.799999999999998 29 17 24
115 2.849999999999998 30 17 23
115 2.8999999999999977 30 17 23
117 2.9499999999999975 29 16 25
118 2.9999999999999973 28 16 26
120 3.049999999999997 26 16 28
122 3.099999999999997 26 16 28
123 3.149999999999997 27 16 27
125 3.1999999999999966 29 16 25
126 3.2499999999999964 29 15 26
126 3.2999999999999963 29 15 26
126 3.349999999999996 29 15 26
127 3.399999999999996 28 15 27
128 3.4499999999999957 27 15 28
128 3.4999999999999956 27 15 28
131 3.5499999999999954 28 15 27
131 3.599999999999995 28 15 27
134 3.649999999999995 28 16 26
136 3.699999999999995 29 17 24
138 3.7499999999999947 29 17 24
139 3.7999999999999945 30 17 23
142 3.8499999999999943 31 15 24
144 3.899999999999994 32 14 24
147 3.949999999999994 31 14 25
147 3.999999999999994 31 14 25
148 4.049999999999994 31 15 24
149 4.099999999999993 32 15 23
149 4.149999999999993 32 15 23
154 4.199999999999993 30 16 24
159 4.249999999999993 32 15 23
161 4.299999999999993 32 15 23
163 4.3499999999999925 33 14 23
167 4.399999999999992 31 14 25
169 4.449999999999992 32 13 25
169 4.499999999999992 32 13 25
171 4.549999999999992 32 13 25
176 4.599999999999992 33 13 24
177 4.6499999999999915 32 13 25
178 4.699999999999991 31 13 26
179 4.749999999999991 30 13 27
182 4.799999999999991 30 12 28
184 4.849999999999991 30 12 28
185 4.899999999999991 31 12 27
186 4.94999999999999 31 13 26
187 4.99999999999999 31 12 27
187 5.04999999999999 31 12 27
188 5.09999999999999 31 13 26
189 5.14999999999999 31 12 27
191 5.1999999999999895 31 12 27
193 5.249999999999989 29 12 29
193 5.299999999999989 29 12 29
195 5.349999999999989 31 12 27
197 5.399999999999989 33 12 25
201 5.449999999999989 30 13 27
202 5.4999999999999885 29 13 28
205 5.549999999999988 32 13 25
206 5.599999999999988 31 13 26
209 5.649999999999988 31 14 25
211 5.699999999999988 31 14 25
211 5.749999999999988 31 14 25
212 5.799999999999987 30 14 26
215 5.849999999999987 32 15 23
217 5.899999999999987 33 16 21
218 5.949999999999987 33 17 20
219 5.999999999999987 32 17 21
221 6.0499999999999865 32 17 21
222 6.099999999999986 33 17 20
223 6.149999999999986 33 16 21
225 6.199999999999986 31 16 23
226 6.249999999999986 30 16 24
227 6.299999999999986 29 16 25
228 6.349999999999985 28 16 26
236 6.399999999999985 29 15 26
238 6.449999999999985 31 15 24
239 6.499999999999985 31 14 25
241 6.549999999999985 32 13 25
243 6.5999999999999845 31 12 27
247 6.649999999999984 30 13 27
247 6.699999999999984 30 13 27
248 6.749999999999984 30 12 28
250 6.799999999999984 31 11 28
252 6.849999999999984 33 11 26
253 6.8999999999999835 33 10 27
255 6.949999999999983 33 10 27
257 6.999999999999983 31 10 29
258 7.049999999999983 32 10 28
260 7.099999999999983 32 10 28
263 7.149999999999983 32 9 29
263 7.199999999999982 32 9 29
263 7.249999999999982 32 9 29
263 7.299999999999982 32 9 29
266 7.349999999999982 33 9 28
268 7.399999999999982 33 9 28
269 7.4499999999999815 34 9 27
269 7.499999999999981 34 9 27
270 7.549999999999981 33 9 28
274 7.599999999999981 31 11 28
278 7.649999999999981 31 13 26
278 7.699999999999981 31 13 26
278 7.7499999999999805 31 13 26
280 7.79999999999998 31 13 26
280 7.84999999999998 31 13 26
281 7.89999999999998 31 12 27
281 7.94999999999998 31 12 27
282 7.99999999999998 31 13 26
283 8.04999999999998 31 12 27
288 8.09999999999998 29 11 30
289 8.14999999999998 29 10 31
293 8.199999999999982 30 9 31
294 8.249999999999982 29 9 32
296 8.299999999999983 30 10 30
296 8.349999999999984 30 10 30
298 8.399999999999984 32 10 28
301 8.449999999999985 35 10 25
304 8.499999999999986 35 11 24
306 8.549999999999986 33 11 26
308 8.599999999999987 34 12 24
309 8.649999999999988 35 12 23
311 8.699999999999989 33 12 25
312 8.74999999999999 33 13 24
315 8.79999999999999 35 14 21
315 8.84999999999999 35 14 21
317 8.899999999999991 37 14 19
318 8.949999999999992 38 14 18
319 8.999999999999993 37 14 19
320 9.049999999999994 37 13 20
320 9.099999999999994 37 13 20
320 9.149999999999995 37 13 20
321 9.199999999999996 37 14 19
322 9.249999999999996 37 13 20
323 9.299999999999997 37 12 21
326 9.349999999999998 37 11 22
330 9.399999999999999 34 12 24
331 9.45 35 12 23
333 9.5 35 12 23
334 9.55 35 13 22
335 9.600000000000001 35 14 21
337 9.650000000000002 35 14 21
341 9.700000000000003 35 14 21
344 9.750000000000004 35 15 20
344 9.800000000000004 35 15 20
347 9.850000000000005 35 14 21
348 9.900000000000006 36 14 20
349 9.950000000000006 37 14 19
349 10.000000000000007 37 14 19
352 10.050000000000008 36 14 20
354 10.100000000000009 36 14 20
355 10.15000000000001 35 14 21
355 10.20000000000001 35 14 21
356 10.25000000000001 36 14 20
356 10.300000000000011 36 14 20
358 10.350000000000012 37 15 18
361 10.400000000000013 37 16 17
364 10.450000000000014 35 15 20
366 10.500000000000014 36 14 20
367 10.550000000000015 37 14 19
372 10.600000000000016 35 13 22
376 10.650000000000016 33 13 24
376 10.700000000000017 33 13 24
379 10.750000000000018 35 14 21
380 10.800000000000018 36 14 20
380 10.85000000000002 36 14 20
384 10.90000000000002 34 14 22
386 10.95000000000002 34 14 22
