step time x y u
0 0.0 35 35 0
1 0.05 35 34 1
3 0.1 35 32 3
4 0.15000000000000002 34 32 4
5 0.2 33 32 5
6 0.25 33 31 6
6 0.3 33 31 6
10 0.35 32 28 10
10 0.39999999999999997 32 28 10
11 0.44999999999999996 32 27 11
13 0.49999999999999994 32 25 13
14 0.5499999999999999 31 25 14
15 0.6 32 25 13
19 0.65 32 25 13
25 0.7000000000000001 32 23 15
26 0.7500000000000001 32 22 16
26 0.8000000000000002 32 22 16
28 0.8500000000000002 31 23 16
29 0.9000000000000002 31 24 15
31 0.9500000000000003 30 25 15
31 1.0000000000000002 30 25 15
34 1.0500000000000003 30 22 18
36 1.1000000000000003 30 24 16
36 1.1500000000000004 30 24 16
37 1.2000000000000004 30 23 17
41 1.2500000000000004 31 22 17
41 1.3000000000000005 31 22 17
42 1.3500000000000005 32 22 16
46 1.4000000000000006 32 20 18
46 1.4500000000000006 32 20 18
47 1.5000000000000007 33 20 17
51 1.5500000000000007 33 18 19
53 1.6000000000000008 32 19 19
53 1.6500000000000008 32 19 19
54 1.7000000000000008 33 19 18
54 1.7500000000000009 33 19 18
58 1.800000000000001 35 17 18
59 1.850000000000001 34 17 19
59 1.900000000000001 34 17 19
59 1.950000000000001 34 17 19
63 2.000000000000001 32 15 23
65 2.0500000000000007 34 15 21
65 2.1000000000000005 34 15 21
65 2.1500000000000004 34 15 21
66 2.2 35 15 20
71 2.25 37 14 19
76 2.3 37 13 20
79 2.3499999999999996 35 14 21
83 2.3999999999999995 35 12 23
84 2.4499999999999993 35 13 22
86 2.499999999999999 35 13 22
88 2.549999999999999 35 13 22
88 2.5999999999999988 35 13 22
90 2.6499999999999986 37 13 20
92 2.6999999999999984 38 14 18
93 2.7499999999999982 37 14 19
96 2.799999999999998 36 14 20
99 2.849999999999998 38 15 17
99 2.8999999999999977 38 15 17
101 2.9499999999999975 38 15 17
103 2.9999999999999973 39 14 17
103 3.049999999999997 39 14 17
105 3.099999999999997 38 15 17
107 3.149999999999997 36 15 19
108 3.1999999999999966 37 15 18
108 3.2499999999999964 37 15 18
110 3.2999999999999963 36 16 18
113 3.349999999999996 37 18 15
115 3.399999999999996 37 18 15
118 3.4499999999999957 37 19 14
123 3.4999999999999956 35 18 17
124 3.5499999999999954 36 18 16
125 3.599999999999995 37 18 15
127 3.649999999999995 36 17 17
128 3.699999999999995 35 17 18
132 3.7499999999999947 32 16 22
134 3.7999999999999945 32 16 22
136 3.8499999999999943 33 15 22
140 3.899999999999994 32 14 24
141 3.949999999999994 33 14 23
142 3.999999999999994 32 14 24
144 4.049999999999994 32 14 24
148 4.099999999999993 29 15 26
150 4.149999999999993 31 15 24
150 4.199999999999993 31 15 24
152 4.249999999999993 32 16 22
154 4.299999999999993 33 15 22
156 4.3499999999999925 32 14 24
159 4.399999999999992 31 14 25
161 4.449999999999992 31 12 27
162 4.499999999999992 30 12 28
163 4.549999999999992 29 12 29
165 4.599999999999992 28 11 31
168 4.6499999999999915 29 11 30
