step time x y u
0 0.0 35 35 0
3 0.05 33 36 1
4 0.1 33 35 2
7 0.15000000000000002 30 35 5
8 0.2 30 34 6
11 0.25 30 33 7
12 0.3 30 32 8
15 0.35 29 30 11
16 0.39999999999999997 28 30 12
17 0.44999999999999996 28 29 13
18 0.49999999999999994 28 30 12
20 0.5499999999999999 28 30 12
21 0.6 27 30 13
21 0.65 27 30 13
25 0.7000000000000001 27 30 13
28 0.7500000000000001 26 30 14
30 0.8000000000000002 25 29 16
30 0.8500000000000002 25 29 16
34 0.9000000000000002 25 29 16
34 0.9500000000000003 25 29 16
36 1.0000000000000002 24 30 16
42 1.0500000000000003 22 32 16
43 1.1000000000000003 22 31 17
45 1.1500000000000004 22 31 17
45 1.2000000000000004 22 31 17
46 1.2500000000000004 21 31 18
48 1.3000000000000005 20 30 20
49 1.3500000000000005 20 29 21
50 1.4000000000000006 20 28 22
52 1.4500000000000006 19 29 22
52 1.5000000000000007 19 29 22
54 1.5500000000000007 19 27 24
58 1.6000000000000008 20 26 24
61 1.6500000000000008 21 28 21
67 1.7000000000000008 19 30 21
67 1.7500000000000009 19 30 21
69 1.800000000000001 20 29 21
70 1.850000000000001 20 28 22
72 1.900000000000001 19 27 24
75 1.950000000000001 19 28 23
75 2.000000000000001 19 28 23
77 2.0500000000000007 19 28 23
80 2.1000000000000005 19 29 22
82 2.1500000000000004 20 30 20
86 2.2 20 32 18
88 2.25 21 31 18
91 2.3 20 29 21
95 2.3499999999999996 20 27 23
97 2.3999999999999995 19 26 25
101 2.4499999999999993 18 25 27
105 2.499999999999999 19 26 25
106 2.549999999999999 20 26 24
107 2.5999999999999988 20 25 25
107 2.6499999999999986 20 25 25
111 2.6999999999999984 19 26 25
113 2.7499999999999982 20 25 25
114 2.799999999999998 20 26 24
116 2.849999999999998 19 25 26
118 2.8999999999999977 18 24 28
119 2.9499999999999975 19 24 27
121 2.9999999999999973 18 25 27
122 3.049999999999997 18 26 26
126 3.099999999999997 17 27 26
129 3.149999999999997 17 28 25
133 3.1999999999999966 17 28 25
134 3.2499999999999964 17 27 26
136 3.2999999999999963 18 28 24
139 3.349999999999996 19 28 23
141 3.399999999999996 21 28 21
