step time x y u
0 0.0 35 35 0
4 0.05 32 34 4
7 0.1 31 32 7
7 0.15000000000000002 31 32 7
10 0.2 30 32 8
12 0.25 31 31 8
16 0.3 28 30 12
19 0.35 27 28 15
21 0.39999999999999997 27 26 17
22 0.44999999999999996 27 25 18
23 0.49999999999999994 27 26 17
23 0.5499999999999999 27 26 17
25 0.6 26 27 17
27 0.65 27 26 17
28 0.7000000000000001 26 26 18
29 0.7500000000000001 25 26 19
29 0.8000000000000002 25 26 19
32 0.8500000000000002 25 25 20
34 0.9000000000000002 24 24 22
34 0.9500000000000003 24 24 22
38 1.0000000000000002 25 23 22
39 1.0500000000000003 25 24 21
40 1.1000000000000003 25 23 22
41 1.1500000000000004 25 22 23
43 1.2000000000000004 25 22 23
43 1.2500000000000004 25 22 23
44 1.3000000000000005 26 22 22
45 1.3500000000000005 26 21 23
46 1.4000000000000006 27 21 22
48 1.4500000000000006 26 22 22
51 1.5000000000000007 27 22 21
52 1.5500000000000007 28 22 20
56 1.6000000000000008 29 23 18
58 1.6500000000000008 28 22 20
59 1.7000000000000008 28 23 19
63 1.7500000000000009 28 23 19
64 1.800000000000001 29 23 18
67 1.850000000000001 29 24 17
70 1.900000000000001 30 24 16
71 1.950000000000001 29 24 17
72 2.000000000000001 28 24 18
73 2.0500000000000007 29 24 17
77 2.1000000000000005 28 23 19
78 2.1500000000000004 29 23 18
79 2.2 29 22 19
81 2.25 30 21 19
81 2.3 30 21 19
82 2.3499999999999996 29 21 20
84 2.3999999999999995 29 21 20
86 2.4499999999999993 29 23 18
87 2.499999999999999 29 22 19
89 2.549999999999999 27 22 21
91 2.5999999999999988 26 21 23
91 2.6499999999999986 26 21 23
92 2.6999999999999984 26 20 24
94 2.7499999999999982 26 22 22
98 2.799999999999998 29 21 20
100 2.849999999999998 28 20 22
103 2.8999999999999977 29 20 21
103 2.9499999999999975 29 20 21
104 2.9999999999999973 30 20 20
106 3.049999999999997 31 21 18
109 3.099999999999997 31 20 19
111 3.149999999999997 30 19 21
112 3.1999999999999966 30 20 20
116 3.2499999999999964 31 17 22
117 3.2999999999999963 31 18 21
118 3.349999999999996 32 18 20
121 3.399999999999996 33 16 21
121 3.4499999999999957 33 16 21
121 3.4999999999999956 33 16 21
123 3.5499999999999954 33 16 21
124 3.599999999999995 34 16 20
125 3.649999999999995 34 17 19
127 3.699999999999995 34 17 19
129 3.7499999999999947 36 17 17
130 3.7999999999999945 37 17 16
132 3.8499999999999943 38 16 16
132 3.899999999999994 38 16 16
134 3.949999999999994 37 15 18
137 3.999999999999994 37 14 19
137 4.049999999999994 37 14 19
141 4.099999999999993 35 14 21
146 4.149999999999993 34 14 22
147 4.199999999999993 33 14 23
149 4.249999999999993 33 16 21
151 4.299999999999993 33 16 21
152 4.3499999999999925 32 16 22
152 4.399999999999992 32 16 22
152 4.449999999999992 32 16 22
153 4.499999999999992 33 16 21
154 4.549999999999992 33 15 22
155 4.599999999999992 33 16 21
159 4.6499999999999915 33 16 21
160 4.699999999999991 33 15 22
161 4.749999999999991 33 14 23
163 4.799999999999991 31 14 25
165 4.849999999999991 30 13 27
166 4.899999999999991 31 13 26
166 4.94999999999999 31 13 26
170 4.99999999999999 30 12 28
171 5.04999999999999 31 12 27
171 5.09999999999999 31 12 27
171 5.14999999999999 31 12 27
176 5.1999999999999895 31 13 26
176 5.249999999999989 31 13 26
179 5.299999999999989 28 13 29
181 5.349999999999989 27 14 29
183 5.399999999999989 28 13 29
184 5.449999999999989 28 14 28
186 5.4999999999999885 30 14 26
190 5.549999999999988 30 16 24
192 5.599999999999988 29 17 24
192 5.649999999999988 29 17 24
192 5.699999999999988 29 17 24
193 5.749999999999988 28 17 25
194 5.799999999999987 29 17 24
195 5.849999999999987 29 18 23
199 5.899999999999987 29 18 23
200 5.949999999999987 29 19 22
201 5.999999999999987 28 19 23
201 6.0499999999999865 28 19 23
203 6.099999999999986 28 19 23
205 6.149999999999986 29 20 21
208 6.199999999999986 30 18 22
212 6.249999999999986 30 18 22
212 6.299999999999986 30 18 22
216 6.349999999999985 31 19 20
218 6.399999999999985 31 19 20
221 6.449999999999985 30 19 21
221 6.499999999999985 30 19 21
226 6.549999999999985 29 19 22
226 6.5999999999999845 29 19 22
228 6.649999999999984 30 18 22
229 6.699999999999984 31 18 21
234 6.749999999999984 29 21 20
234 6.799999999999984 29 21 20
235 6.849999999999984 30 21 19
236 6.8999999999999835 29 21 20
238 6.949999999999983 30 20 20
238 6.999999999999983 30 20 20
240 7.049999999999983 31 21 18
240 7.099999999999983 31 21 18
240 7.149999999999983 31 21 18
242 7.199999999999982 30 20 20
242 7.249999999999982 30 20 20
242 7.299999999999982 30 20 20
246 7.349999999999982 29 19 22
247 7.399999999999982 29 18 23
248 7.4499999999999815 29 17 24
252 7.499999999999981 28 16 26
253 7.549999999999981 27 16 27
253 7.599999999999981 27 16 27
255 7.649999999999981 29 16 25
257 7.699999999999981 30 15 25
259 7.7499999999999805 30 13 27
261 7.79999999999998 30 15 25
262 7.84999999999998 30 16 24
263 7.89999999999998 30 17 23
263 7.94999999999998 30 17 23
264 7.99999999999998 30 16 24
266 8.04999999999998 30 18 22
267 8.09999999999998 31 18 21
269 8.14999999999998 29 18 23
270 8.199999999999982 30 18 22
270 8.249999999999982 30 18 22
272 8.299999999999983 32 18 20
273 8.349999999999984 32 17 21
277 8.399999999999984 31 16 23
279 8.449999999999985 30 17 23
281 8.499999999999986 29 18 23
284 8.549999999999986 28 18 24
284 8.599999999999987 28 18 24
284 8.649999999999988 28 18 24
285 8.699999999999989 28 19 23
286 8.74999999999999 28 18 24
286 8.79999999999999 28 18 24
288 8.84999999999999 28 18 24
288 8.899999999999991 28 18 24
290 8.949999999999992 29 19 22
291 8.999999999999993 30 19 21
292 9.049999999999994 30 18 22
292 9.099999999999994 30 18 22
294 9.149999999999995 30 18 22
294 9.199999999999996 30 18 22
295 9.249999999999996 29 18 23
295 9.299999999999997 29 18 23
296 9.349999999999998 29 17 24
298 9.399999999999999 29 19 22
298 9.45 29 19 22
301 9.5 30 17 23
301 9.55 30 17 23
301 9.600000000000001 30 17 23
301 9.650000000000002 30 17 23
302 9.700000000000003 30 18 22
303 9.750000000000004 29 18 23
304 9.800000000000004 28 18 24
310 9.850000000000005 27 15 28
