,timepoints,X0,Y0,U0,Zx0,Zy0,X1,Y1,U1,Zx1,Zy1,X2,Y2,U2,Zx2,Zy2,X3,Y3,U3,Zx3,Zy3,X4,Y4,U4,Zx4,Zy4,X5,Y5,U5,Zx5,Zy5,X6,Y6,U6,Zx6,Zy6,X7,Y7,U7,Zx7,Zy7,X8,Y8,U8,Zx8,Zy8,X9,Y9,U9,Zx9,Zy9,X10,Y10,U10,Zx10,Zy10,X11,Y11,U11,Zx11,Zy11,X12,Y12,U12,Zx12,Zy12,X13,Y13,U13,Zx13,Zy13,X14,Y14,U14,Zx14,Zy14
159,79.65931863727454,7.0,56.0,17.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,70.0,2.0,8.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,65.0,3.0,12.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,0.0,69.0,11.0,10.0,10.0,3.0,63.0,14.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,66.0,0.0,14.0,10.0,10.0,2.0,69.0,9.0,10.0,10.0
160,80.16032064128255,5.0,57.0,18.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,2.0,66.0,12.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,71.0,0.0,9.0,10.0,10.0,67.0,2.0,11.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,3.0,65.0,12.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0
161,80.66132264529057,2.0,62.0,16.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,65.0,1.0,14.0,10.0,10.0,3.0,64.0,13.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,71.0,0.0,9.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0,3.0,64.0,13.0,10.0,10.0,67.0,0.0,13.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0
162,81.16232464929858,2.0,66.0,12.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,1.0,63.0,16.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,66.0,0.0,14.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0,0.0,75.0,5.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0
163,81.6633266533066,2.0,67.0,11.0,10.0,10.0,0.0,69.0,11.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,2.0,61.0,17.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0,0.0,77.0,3.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0
164,82.16432865731463,1.0,69.0,10.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,2.0,62.0,16.0,10.0,10.0,65.0,3.0,12.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,0.0,77.0,3.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0
165,82.66533066132264,1.0,67.0,12.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,0.0,76.0,4.0,10.0,10.0,0.0,71.0,9.0,10.0,10.0,71.0,4.0,5.0,10.0,10.0,3.0,63.0,14.0,10.0,10.0,64.0,2.0,14.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,71.0,0.0,9.0,10.0,10.0,4.0,65.0,11.0,10.0,10.0,0.0,78.0,2.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,64.0,2.0,14.0,10.0,10.0,67.0,3.0,10.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0
166,83.16633266533066,1.0,64.0,15.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0,1.0,77.0,2.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,3.0,67.0,10.0,10.0,10.0,64.0,2.0,14.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,5.0,62.0,13.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,65.0,3.0,12.0,10.0,10.0,67.0,3.0,10.0,10.0,10.0,0.0,71.0,9.0,10.0,10.0
167,83.66733466933867,1.0,65.0,14.0,10.0,10.0,0.0,75.0,5.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,71.0,2.0,7.0,10.0,10.0,3.0,68.0,9.0,10.0,10.0,66.0,2.0,12.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,64.0,1.0,15.0,10.0,10.0,8.0,60.0,12.0,10.0,10.0,0.0,69.0,11.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,65.0,4.0,11.0,10.0,10.0,69.0,3.0,8.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0
168,84.16833667334669,2.0,70.0,8.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0,0.0,76.0,4.0,10.0,10.0,2.0,72.0,6.0,10.0,10.0,69.0,3.0,8.0,10.0,10.0,3.0,68.0,9.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,70.0,3.0,7.0,10.0,10.0,62.0,1.0,17.0,10.0,10.0,5.0,68.0,7.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,62.0,3.0,15.0,10.0,10.0,68.0,6.0,6.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0
